#gene	sample1	sample2	sample3	sample7	sample8	sample9
CTNNBIP1	1430	2594	2116	3434	3922	4006
LZIC	725	1781	1235	1820	1628	3121
NMNAT1	80	71	63	115	120	243
RBP7	559	1985	2640	930	1717	3765
UBE4B	1747	3002	2720	4876	3852	2633
KIF1B	56	57	32	175	52	159
PGD	2865	3522	1253	1900	4825	3607
APITD1-CORT	8189	16575	8245	7374	9368	10839
APITD1	553	1032	1444	723	1066	1269
CORT	4754	1871	3856	5872	5599	2689
DFFA	16	31	18	36	34	13
PEX14	3168	5602	5683	5994	4903	3750
CASZ1	790	1693	865	937	1137	1454
C1orf127	924	754	669	766	1584	2179
TARDBP	1811	4759	1283	873	1491	2996
RP4-635E18.9	349	114	318	645	359	318
MASP2	5784	5632	6114	5531	7195	4801
SRM	1307	2453	2108	2433	2002	3409
EXOSC10	6577	8693	14664	22076	11947	10151
MTOR	6244	2874	8064	5003	6632	5318
ANGPTL7	879	559	778	1875	1547	936
UBIAD1	262	155	96	429	575	296
DISP3	663	290	469	839	1153	383
FBXO2	3257	7157	4431	5423	9823	4052
FBXO44	3904	1645	1540	4634	2686	5258
FBXO6	38	41	20	37	42	29
MAD2L2	5435	3193	5234	5587	5083	7515
DRAXIN	2814	7361	3544	5836	2371	4216
AGTRAP	107	163	249	345	213	215
C1orf167	1736	3462	1029	1484	1945	1401
MTHFR	1428	1677	2266	462	1566	2967
CLCN6	63	73	110	91	87	119
NPPA	944	1205	3166	2703	2274	1920
NPPB	330	624	286	190	575	780
KIAA2013	1476	3683	2243	4536	1375	1657
PLOD1	1418	1047	1255	2900	875	5106
MFN2	384	1139	719	543	588	1386
MIIP	1700	4943	3476	3748	6410	4966
TNFRSF8	1318	1198	1075	1248	2149	1441
TNFRSF1B	236	647	419	320	496	805
VPS13D	141	79	159	191	164	138
DHRS3	1676	1977	6047	6731	7784	2886
AADACL4	3801	2990	3692	2842	3851	3994
AADACL3	2362	3279	7362	4695	2787	4445
C1orf158	512	394	1255	1827	1289	1624
PRAMEF12	1799	2112	2411	2585	3950	2134
PRAMEF1	2939	792	3242	4735	6024	5613
PRAMEF11	409	892	513	801	987	1861
HNRNPCL1	2404	3962	3764	4056	7520	4061
PRAMEF2	8437	10139	6915	5359	7928	16604
PRAMEF4	4584	2727	5460	2286	4093	6797
PRAMEF10	362	454	830	594	296	530
PRAMEF7	1837	1799	1709	1156	1796	1295
PRAMEF6	4012	3105	5465	1757	3291	3290
PRAMEF27	1163	2523	1968	585	1825	2108
PRAMEF25	17405	4066	8844	5960	6191	7300
HNRNPCL3	35	57	62	80	40	72
HNRNPCL2	566	483	626	485	711	895
PRAMEF26	2174	1548	2470	2271	2286	3056
HNRNPCL4	1654	535	2460	797	1190	1722
PRAMEF9	10682	5071	6235	11299	7735	6370
PRAMEF18	1051	647	1053	1891	783	573
PRAMEF5	1971	1284	1096	704	2525	1778
PRAMEF8	8464	6763	7429	7291	8525	7009
PRAMEF15	6792	7230	8623	6021	2610	5296
PRAMEF14	4605	2214	2983	5864	3186	4471
PRAMEF19	524	1276	585	543	545	771
PRAMEF17	401	307	361	955	430	777
PRAMEF20	1565	1435	1218	882	1159	3093
LRRC38	1899	2396	1899	1129	1986	2681
PDPN	1121	673	1060	1283	886	2132
PRDM2	2971	6929	3069	3879	7251	6366
KAZN	1955	3957	2589	2862	3437	1446
TMEM51	1927	1816	1769	1730	2595	1309
FHAD1	777	1435	1083	772	1095	2225
EFHD2	164	184	170	365	142	256
CTRC	668	2075	914	1126	1502	2712
CELA2A	614	605	908	263	673	590
CELA2B	13598	13784	8584	6831	9132	13484
CASP9	1396	1171	709	3766	1763	2767
DNAJC16	3323	2543	2341	4668	4182	4407
AGMAT	394	1700	493	909	787	951
DDI2	4799	3298	6384	6186	5112	8558
RSC1A1	117	145	25	55	159	103
PLEKHM2	8489	5505	12915	11170	13818	5863
SLC25A34	443	351	638	563	841	832
TMEM82	405	429	253	429	478	228
FBLIM1	749	575	679	807	798	668
UQCRHL	3360	2669	2187	2176	1818	2879
SPEN	6695	4491	7553	2853	5364	7761
ZBTB17	3686	4885	2078	6290	3906	3249
C1orf64	3796	1374	1543	1230	3138	1811
HSPB7	1193	2095	2448	1685	1075	2017
CLCNKA	1293	1330	562	1106	982	2899
CLCNKB	795	429	434	1277	821	608
FAM131C	1132	2275	2379	2958	2166	2932
EPHA2	5270	10213	7779	14175	8560	8742
ARHGEF19	1257	930	692	1073	435	984
RSG1	2842	1567	1760	1972	1605	3757
FBXO42	503	207	407	261	337	166
SZRD1	1614	1840	2424	2807	2781	4949
SPATA21	665	2546	1605	1960	1206	550
NECAP2	688	629	1355	1509	1696	2322
FAM231B	767	766	813	559	1182	610
NBPF1	4819	4142	2025	3117	3867	7495
FAM231A	3928	7803	4158	2830	4941	6474
FAM231C	710	1171	1415	1097	1034	2151
CROCC	784	1079	781	1138	1364	1693
MFAP2	2012	2735	1666	1602	1584	1286
ATP13A2	1925	1857	1903	1004	1412	1937
SDHB	2363	4238	3663	2501	4274	2179
PADI2	27	20	49	43	91	80
PADI1	2406	3030	2895	3146	4046	3881
PADI3	120	243	261	504	471	300
PADI4	1960	2983	2458	3518	2280	5460
AC004824.1	858	344	807	742	971	497
PADI6	5387	4899	13208	5609	12701	6992
RCC2	3791	7701	3283	6493	6370	8016
ARHGEF10L	7684	7988	9149	15317	6412	8507
ACTL8	135	63	184	130	134	80
IGSF21	197	62	104	69	216	95
KLHDC7A	611	898	473	513	867	903
PAX7	4784	2328	3538	4839	4944	4333
TAS1R2	1101	1095	1148	457	1215	1604
RP13-279N23.2	4468	6307	2909	10197	7339	11715
ALDH4A1	528	1058	331	909	917	960
IFFO2	669	492	547	332	298	402
UBR4	9786	16845	3208	5715	4863	16702
EMC1	350	467	384	383	354	345
MRTO4	534	493	342	376	684	834
AKR7A3	278	1881	1324	1170	1723	892
AKR7A2	3698	2446	3348	4539	4968	4187
PQLC2	2300	2340	1377	1990	2772	1319
CAPZB	1474	2365	985	1742	1140	2296
MINOS1	1389	2803	1324	1994	3306	1952
MINOS1-NBL1	1090	875	1453	981	1216	1210
NBL1	214	205	158	212	192	366
HTR6	270	158	176	236	232	336
TMCO4	391	527	636	974	1066	783
RNF186	2432	1679	1328	462	1230	1770
OTUD3	919	1122	436	1295	414	1293
PLA2G2E	335	551	697	733	323	648
PLA2G2A	354	1158	1114	955	712	432
PLA2G5	860	1361	1813	789	1334	1100
PLA2G2D	2511	1488	3286	4662	3685	3202
PLA2G2F	4011	7090	5671	4435	5473	14050
PLA2G2C	564	1167	1012	991	820	714
UBXN10	10	11	8	8	10	3
VWA5B1	4633	9892	4638	6907	11410	13043
CAMK2N1	840	1002	559	392	914	1521
MUL1	2079	1788	1491	1738	1584	1659
FAM43B	2161	4692	1381	2796	2987	2500
CDA	1569	352	1334	1613	1474	966
PINK1	1437	606	822	1649	1818	925
DDOST	162	454	640	516	218	212
KIF17	2157	2310	1213	2616	733	859
SH2D5	4679	2389	1410	6716	1471	3829
HP1BP3	2161	1392	3513	2698	2222	994
EIF4G3	1846	1363	1097	2028	1477	2966
ECE1	23	25	23	48	67	28
NBPF3	748	441	1082	1412	622	1316
ALPL	1495	1593	607	1270	1488	1368
RAP1GAP	874	2112	917	1267	1793	1616
USP48	2280	662	2490	1960	4044	1692
LDLRAD2	1125	1281	1002	829	1226	1128
HSPG2	847	681	1121	964	1198	958
CELA3B	24059	8893	11708	9661	23757	16132
CELA3A	16	11	16	27	13	8
CDC42	47	116	65	59	131	63
WNT4	1872	873	1211	2111	1488	2014
ZBTB40	5942	2687	6536	3442	5066	8134
EPHA8	157	142	114	200	153	272
C1QA	12	16	21	25	12	17
C1QC	920	1657	1236	853	1560	1819
C1QB	2268	2307	2802	1686	1634	4664
EPHB2	7189	6697	4616	7760	12729	18096
LACTBL1	424	1030	592	714	1231	503
C1orf234	1079	2893	1702	1319	2132	2147
KDM1A	4451	3123	2508	8534	2472	5911
LUZP1	3432	1174	4732	3244	3932	3773
HTR1D	5692	11261	6887	5449	12342	4865
HNRNPR	1560	3595	1150	1313	1646	2266
ZNF436	208	351	408	238	357	446
TCEA3	1523	2603	2312	6991	7567	7039
ASAP3	5678	5319	5376	4772	1694	4014
E2F2	98	61	83	39	109	109
ID3	1981	2775	2409	3312	2752	3292
MDS2	237	95	203	267	258	128
RPL11	6194	2287	1813	3665	2635	4557
TCEB3	1304	467	608	653	785	605
PITHD1	8298	12805	9245	9481	5517	6057
LYPLA2	2359	2493	2172	3715	3744	2250
GALE	2934	2790	2430	5055	3564	3451
HMGCL	1853	3417	3931	2152	6047	4605
FUCA1	211	292	327	724	291	294
CNR2	841	755	793	552	697	960
PNRC2	272	383	506	323	697	338
SRSF10	70	26	32	69	40	99
MYOM3	265	154	95	163	145	152
IL22RA1	340	160	282	339	453	396
IFNLR1	1251	1155	1224	1136	2594	2462
GRHL3	1109	1008	1210	722	1269	1608
STPG1	1633	1020	877	1044	1019	2658
NIPAL3	5050	8525	9716	10126	14876	14595
RCAN3	2603	6032	2616	6031	5396	2906
NCMAP	2729	3636	1787	2616	4020	2698
SRRM1	1176	1037	977	1801	1759	1325
CLIC4	4658	10699	3653	13708	10145	4134
RUNX3	795	458	662	616	859	1428
SYF2	435	440	696	587	647	461
RSRP1	3589	4654	4859	8188	13837	5926
RHD	1339	665	1430	3168	4683	1956
TMEM50A	215	181	168	427	95	220
RHCE	310	137	323	976	422	707
TMEM57	8964	5644	5446	8096	16959	12733
LDLRAP1	103	84	149	154	153	245
MAN1C1	621	955	794	542	1106	425
SEPN1	3320	4038	3530	3632	4862	5980
RP1-317E23.6	2288	3398	2385	3449	3976	5870
MTFR1L	4503	2211	5079	2960	2976	3672
AUNIP	943	1881	1017	1972	740	760
PAQR7	4292	1567	6149	6102	2846	8224
STMN1	1412	1224	1487	2035	2583	575
PAFAH2	268	167	370	343	514	520
EXTL1	1568	1320	746	1610	2511	993
SLC30A2	1399	1321	1850	3524	2195	1356
TRIM63	758	741	698	1503	1654	877
PDIK1L	4428	3339	4064	9075	4600	2479
FAM110D	1343	1021	2158	1081	2394	1555
RP11-96L14.8	10	13	12	13	24	29
RP11-96L14.7	3517	4337	3164	3148	2504	1202
ZNF593	1663	3264	1841	2305	3824	2718
CNKSR1	3914	6187	2065	5007	11257	8223
CATSPER4	333	924	704	1408	147	952
CEP85	261	272	176	302	660	302
SH3BGRL3	1156	911	1095	1711	3216	1415
UBXN11	1052	867	1806	2032	3213	1464
CD52	814	1502	934	1852	1723	1286
AIM1L	5252	9263	4060	5826	3740	7843
ZNF683	4065	3054	2290	3744	4882	3649
LIN28A	1827	1182	2132	5129	1966	2108
DHDDS	5426	8504	18965	5555	11325	13445
HMGN2	362	101	411	356	497	759
RPS6KA1	2696	947	2230	1723	1899	1523
ARID1A	1062	1321	3199	3501	2729	2421
PIGV	7841	6008	5202	12029	6790	10893
ZDHHC18	435	722	883	1109	2055	1455
SFN	823	506	571	1852	571	1140
GPN2	4	11	4	7	14	4
GPATCH3	4463	2555	5861	4950	4070	3702
NUDC	4152	2700	1876	2217	2131	3684
NR0B2	1602	1166	587	828	2171	2789
KDF1	4917	5603	6852	6085	3581	8679
TRNP1	5382	11403	8916	14050	11802	11793
FAM46B	3988	5606	4193	2780	6415	5574
AL137860.1	4328	4655	857	3558	3691	6444
SLC9A1	1423	1745	2460	1821	1948	1281
WDTC1	820	426	1132	1300	990	1188
TMEM222	71	86	155	395	142	357
SYTL1	1159	1386	1333	415	433	659
MAP3K6	972	971	856	1612	986	1181
FCN3	842	1638	1914	1569	2114	1638
CD164L2	172	143	184	27	159	131
GPR3	4077	2139	4694	1620	6327	7831
WASF2	11182	6572	8078	14904	8162	9558
AHDC1	4931	7738	3923	4886	8958	6469
FGR	1270	954	1099	2122	1210	1286
IFI6	620	990	1693	2457	1423	720
FAM76A	457	475	729	513	835	816
STX12	4774	4498	3557	2996	6508	2050
PPP1R8	1918	1225	1061	2619	2546	1884
AL109927.1	368	130	138	343	405	534
THEMIS2	3993	1653	2819	3066	1326	3689
RPA2	94	174	152	155	155	255
SMPDL3B	2026	4038	1270	5099	3397	2609
XKR8	2403	1585	1863	1315	1777	2673
EYA3	4568	2610	6341	10916	10682	7989
PTAFR	2248	4079	5262	8888	3175	3923
DNAJC8	4808	4018	5408	3389	4366	2046
ATPIF1	1852	1878	1872	2963	4210	3303
SESN2	980	1444	843	1861	1513	940
MED18	4594	1590	1843	6910	1198	3434
PHACTR4	1	3	2	2	1	3
RCC1	1803	3003	1341	5318	3124	2002
TRNAU1AP	678	961	1077	3316	861	805
TAF12	9566	7048	7143	7304	7299	6242
RAB42	78	82	56	61	129	76
GMEB1	485	423	246	380	1078	525
YTHDF2	2815	528	1358	1129	1403	1057
OPRD1	1046	1538	1877	2948	1428	2303
EPB41	1744	940	492	709	415	883
TMEM200B	4203	5262	3598	3474	3922	2821
SRSF4	3575	2551	4013	1749	3311	4813
MECR	2856	3526	3517	5608	804	3013
PTPRU	2453	3297	4261	10019	5310	7322
MATN1	2199	1804	4426	1860	3229	968
LAPTM5	1974	2485	2000	3388	2492	4050
SDC3	856	1121	1792	2116	491	1318
PUM1	4292	3226	4609	5097	2236	2130
NKAIN1	389	151	560	301	303	368
SNRNP40	3349	8508	4310	11169	6505	5953
ZCCHC17	3719	2797	4848	3550	4173	4255
FABP3	2309	1268	1351	1627	1493	1011
SERINC2	1594	2070	731	1217	2663	7119
TINAGL1	3610	7043	8354	9282	10971	10083
HCRTR1	1911	1938	1172	2219	1978	2401
PEF1	2450	1681	3528	2100	2772	5927
COL16A1	780	388	489	718	741	741
ADGRB2	1491	1600	2023	1613	1791	936
SPOCD1	2491	6013	2262	1545	2981	2733
PTP4A2	1287	1714	1569	4731	1227	2018
KHDRBS1	616	517	705	641	479	446
TMEM39B	539	747	431	567	1467	470
KPNA6	1091	689	1345	1897	1254	813
TXLNA	4631	1223	5054	1687	4549	3204
CCDC28B	1110	626	1351	1991	1704	1083
IQCC	818	899	683	1795	1346	605
DCDC2B	528	1458	2002	3007	1702	737
TMEM234	2827	2891	1253	5873	2130	2040
EIF3I	489	276	449	321	280	159
FAM167B	1644	1239	2476	1707	2185	1118
LCK	1307	887	855	572	1629	2062
HDAC1	63	90	245	149	199	102
MARCKSL1	3608	5012	4250	8050	9419	2883
TSSK3	1957	1111	2508	670	2092	2711
FAM229A	530	518	423	425	1525	1821
BSDC1	118	71	75	82	136	113
RP1-27O5.3	1679	918	667	1856	1576	1918
ZBTB8B	191	337	687	373	296	651
ZBTB8A	1296	1331	1912	1711	2620	1397
ZBTB8OS	973	1979	715	1710	1261	1269
RBBP4	7816	7521	4346	5115	9664	9922
SYNC	371	337	224	74	299	602
KIAA1522	4557	3463	4279	3714	4160	10743
YARS	39	178	59	66	217	96
S100PBP	1038	1357	1450	940	1139	2467
FNDC5	1798	3421	1197	2146	1056	3452
HPCA	786	1037	1112	574	707	960
TMEM54	2833	5070	3822	3888	9889	12656
RNF19B	746	1584	701	1913	933	1228
AK2	1740	753	1046	3089	1911	1338
AZIN2	2075	1879	595	2180	2044	671
TRIM62	4631	7547	11867	7500	13419	10360
ZNF362	4028	3080	2674	1119	5121	6019
A3GALT2	2690	1945	2568	1996	2292	4953
PHC2	8153	13902	12912	8223	11685	10596
ZSCAN20	1393	3449	1435	1192	965	1546
CSMD2	4706	4700	1545	4480	6290	5442
HMGB4	670	1187	1167	1723	1470	2909
C1orf94	3676	3298	5500	14103	4009	5100
SMIM12	113	249	371	444	496	479
GJB5	6948	3339	3083	3717	1749	1195
GJB4	6352	6056	3510	9717	6435	6718
GJB3	6850	7087	4387	7079	7855	6966
GJA4	604	696	411	1155	1330	1682
DLGAP3	2467	3980	3481	2938	6335	4152
RP11-244H3.4	698	753	1282	785	309	250
TMEM35B	3493	2250	2965	2376	2607	2800
ZMYM6	104	76	66	127	41	83
ZMYM1	885	308	1754	2292	728	2060
SFPQ	340	175	193	289	393	427
ZMYM4	439	1654	1212	1883	1073	1477
KIAA0319L	2996	1197	1018	998	1925	904
NCDN	508	446	249	479	942	988
TFAP2E	602	110	243	232	213	382
PSMB2	432	745	370	1030	1130	879
C1orf216	2249	1731	1794	1074	1888	829
CLSPN	3762	3059	4034	10824	9750	5679
AGO4	739	703	764	510	570	1082
AGO1	2897	1350	545	1701	2273	1630
AGO3	1312	1227	963	1074	1073	2843
TEKT2	1386	1207	1424	1298	3494	2112
ADPRHL2	2663	2086	2072	1570	3602	2703
COL8A2	1036	1545	1161	2835	492	2627
TRAPPC3	304	1157	209	733	1002	671
MAP7D1	3939	4699	5561	4862	4297	6379
THRAP3	420	279	269	238	378	355
SH3D21	2060	2045	1677	2683	3452	2576
EVA1B	311	454	952	1847	366	909
STK40	1586	1696	1219	2187	1196	1644
LSM10	4291	5639	4920	7397	8640	9469
OSCP1	645	558	244	340	655	492
MRPS15	1456	2138	2771	4006	3137	3391
CSF3R	2662	4702	4200	6349	4795	2965
GRIK3	417	568	347	380	543	229
ZC3H12A	1	2	1	1	0	1
MEAF6	4045	4442	4050	5491	4307	3803
SNIP1	8907	6806	12411	6552	6234	6245
DNALI1	738	2116	1097	1831	2377	5227
GNL2	9261	12245	11306	4711	6793	7370
RSPO1	545	307	846	599	438	317
C1orf109	1469	844	764	1282	1204	2062
CDCA8	3856	3669	4318	4443	3722	4253
EPHA10	2878	5127	18666	10541	13270	30039
MANEAL	1160	934	952	2760	3253	683
YRDC	14348	9504	12726	24700	15394	11293
C1orf122	3745	3667	3438	5035	4543	4236
MTF1	1757	6431	2637	2357	6757	2546
INPP5B	954	465	1811	1436	2672	1421
SF3A3	2087	3184	2589	3321	1281	3523
FHL3	380	138	207	364	300	158
UTP11	402	488	293	404	410	655
POU3F1	2905	2077	2483	4309	1755	2488
RRAGC	6905	6999	7271	5827	7889	10007
MYCBP	9706	5184	9177	6617	10146	14613
RP5-864K19.6	1469	1871	1318	473	1693	1189
GJA9	65	47	49	52	47	52
RHBDL2	906	850	929	783	1225	1062
AKIRIN1	4095	1748	1956	4453	1751	7095
NDUFS5	9516	4125	4415	6628	13786	5417
MACF1	1271	761	730	1018	1737	1510
BMP8A	3065	9853	4143	5550	9497	6541
PABPC4	3859	7007	1378	2690	3601	5396
HEYL	2558	1415	2934	3569	2951	2973
NT5C1A	170	285	178	495	592	584
