#gene	sample7	sample8	sample9
MAD2L2	5587	5083	7515
DRAXIN	5836	2371	4216
AGTRAP	345	213	215
C1orf167	1484	1945	1401
MTHFR	462	1566	2967
CLCN6	91	87	119
NPPA	2703	2274	1920
NPPB	190	575	780
KIAA2013	4536	1375	1657
PLOD1	2900	875	5106
MFN2	543	588	1386
MIIP	3748	6410	4966
TNFRSF8	1248	2149	1441
TNFRSF1B	320	496	805
VPS13D	191	164	138
DHRS3	6731	7784	2886
AADACL4	2842	3851	3994
AADACL3	4695	2787	4445
C1orf158	1827	1289	1624
PRAMEF12	2585	3950	2134
PRAMEF1	4735	6024	5613
PRAMEF11	801	987	1861
HNRNPCL1	4056	7520	4061
PRAMEF2	5359	7928	16604
PRAMEF4	2286	4093	6797
PRAMEF10	594	296	530
PRAMEF7	1156	1796	1295
PRAMEF6	1757	3291	3290
PRAMEF27	585	1825	2108
PRAMEF25	5960	6191	7300
HNRNPCL3	80	40	72
HNRNPCL2	485	711	895
PRAMEF26	2271	2286	3056
HNRNPCL4	797	1190	1722
PRAMEF9	11299	7735	6370
PRAMEF18	1891	783	573
PRAMEF5	704	2525	1778
PRAMEF8	7291	8525	7009
PRAMEF15	6021	2610	5296
PRAMEF14	5864	3186	4471
PRAMEF19	543	545	771
PRAMEF17	955	430	777
PRAMEF20	882	1159	3093
LRRC38	1129	1986	2681
PDPN	1283	886	2132
PRDM2	3879	7251	6366
KAZN	2862	3437	1446
TMEM51	1730	2595	1309
FHAD1	772	1095	2225
EFHD2	365	142	256
CTRC	1126	1502	2712
CELA2A	263	673	590
CELA2B	6831	9132	13484
CASP9	3766	1763	2767
DNAJC16	4668	4182	4407
AGMAT	909	787	951
DDI2	6186	5112	8558
RSC1A1	55	159	103
PLEKHM2	11170	13818	5863
SLC25A34	563	841	832
TMEM82	429	478	228
FBLIM1	807	798	668
UQCRHL	2176	1818	2879
SPEN	2853	5364	7761
ZBTB17	6290	3906	3249
C1orf64	1230	3138	1811
HSPB7	1685	1075	2017
CLCNKA	1106	982	2899
CLCNKB	1277	821	608
FAM131C	2958	2166	2932
EPHA2	14175	8560	8742
ARHGEF19	1073	435	984
RSG1	1972	1605	3757
FBXO42	261	337	166
SZRD1	2807	2781	4949
SPATA21	1960	1206	550
NECAP2	1509	1696	2322
FAM231B	559	1182	610
NBPF1	3117	3867	7495
FAM231A	2830	4941	6474
FAM231C	1097	1034	2151
CROCC	1138	1364	1693
MFAP2	1602	1584	1286
ATP13A2	1004	1412	1937
SDHB	2501	4274	2179
PADI2	43	91	80
PADI1	3146	4046	3881
PADI3	504	471	300
PADI4	3518	2280	5460
AC004824.1	742	971	497
PADI6	5609	12701	6992
RCC2	6493	6370	8016
ARHGEF10L	15317	6412	8507
ACTL8	130	134	80
IGSF21	69	216	95
KLHDC7A	513	867	903
PAX7	4839	4944	4333
TAS1R2	457	1215	1604
RP13-279N23.2	10197	7339	11715
ALDH4A1	909	917	960
IFFO2	332	298	402
UBR4	5715	4863	16702
EMC1	383	354	345
MRTO4	376	684	834
AKR7A3	1170	1723	892
AKR7A2	4539	4968	4187
PQLC2	1990	2772	1319
CAPZB	1742	1140	2296
MINOS1	1994	3306	1952
MINOS1-NBL1	981	1216	1210
NBL1	212	192	366
HTR6	236	232	336
TMCO4	974	1066	783
RNF186	462	1230	1770
OTUD3	1295	414	1293
PLA2G2E	733	323	648
PLA2G2A	955	712	432
PLA2G5	789	1334	1100
PLA2G2D	4662	3685	3202
PLA2G2F	4435	5473	14050
PLA2G2C	991	820	714
UBXN10	8	10	3
VWA5B1	6907	11410	13043
CAMK2N1	392	914	1521
MUL1	1738	1584	1659
FAM43B	2796	2987	2500
CDA	1613	1474	966
PINK1	1649	1818	925
DDOST	516	218	212
KIF17	2616	733	859
SH2D5	6716	1471	3829
HP1BP3	2698	2222	994
EIF4G3	2028	1477	2966
ECE1	48	67	28
NBPF3	1412	622	1316
ALPL	1270	1488	1368
RAP1GAP	1267	1793	1616
USP48	1960	4044	1692
LDLRAD2	829	1226	1128
HSPG2	964	1198	958
CELA3B	9661	23757	16132
CELA3A	27	13	8
CDC42	59	131	63
WNT4	2111	1488	2014
ZBTB40	3442	5066	8134
EPHA8	200	153	272
C1QA	25	12	17
C1QC	853	1560	1819
C1QB	1686	1634	4664
EPHB2	7760	12729	18096
LACTBL1	714	1231	503
C1orf234	1319	2132	2147
KDM1A	8534	2472	5911
LUZP1	3244	3932	3773
HTR1D	5449	12342	4865
HNRNPR	1313	1646	2266
ZNF436	238	357	446
TCEA3	6991	7567	7039
ASAP3	4772	1694	4014
E2F2	39	109	109
ID3	3312	2752	3292
MDS2	267	258	128
RPL11	3665	2635	4557
TCEB3	653	785	605
PITHD1	9481	5517	6057
LYPLA2	3715	3744	2250
GALE	5055	3564	3451
HMGCL	2152	6047	4605
FUCA1	724	291	294
CNR2	552	697	960
PNRC2	323	697	338
SRSF10	69	40	99
MYOM3	163	145	152
IL22RA1	339	453	396
IFNLR1	1136	2594	2462
GRHL3	722	1269	1608
STPG1	1044	1019	2658
NIPAL3	10126	14876	14595
RCAN3	6031	5396	2906
NCMAP	2616	4020	2698
SRRM1	1801	1759	1325
CLIC4	13708	10145	4134
RUNX3	616	859	1428
SYF2	587	647	461
RSRP1	8188	13837	5926
RHD	3168	4683	1956
TMEM50A	427	95	220
RHCE	976	422	707
TMEM57	8096	16959	12733
LDLRAP1	154	153	245
MAN1C1	542	1106	425
SEPN1	3632	4862	5980
RP1-317E23.6	3449	3976	5870
MTFR1L	2960	2976	3672
AUNIP	1972	740	760
PAQR7	6102	2846	8224
STMN1	2035	2583	575
PAFAH2	343	514	520
EXTL1	1610	2511	993
SLC30A2	3524	2195	1356
TRIM63	1503	1654	877
PDIK1L	9075	4600	2479
FAM110D	1081	2394	1555
RP11-96L14.8	13	24	29
RP11-96L14.7	3148	2504	1202
ZNF593	2305	3824	2718
CNKSR1	5007	11257	8223
CATSPER4	1408	147	952
CEP85	302	660	302
SH3BGRL3	1711	3216	1415
UBXN11	2032	3213	1464
CD52	1852	1723	1286
AIM1L	5826	3740	7843
ZNF683	3744	4882	3649
LIN28A	5129	1966	2108
DHDDS	5555	11325	13445
HMGN2	356	497	759
RPS6KA1	1723	1899	1523
ARID1A	3501	2729	2421
PIGV	12029	6790	10893
ZDHHC18	1109	2055	1455
SFN	1852	571	1140
GPN2	7	14	4
GPATCH3	4950	4070	3702
NUDC	2217	2131	3684
NR0B2	828	2171	2789
KDF1	6085	3581	8679
TRNP1	14050	11802	11793
FAM46B	2780	6415	5574
AL137860.1	3558	3691	6444
SLC9A1	1821	1948	1281
WDTC1	1300	990	1188
TMEM222	395	142	357
SYTL1	415	433	659
MAP3K6	1612	986	1181
FCN3	1569	2114	1638
CD164L2	27	159	131
GPR3	1620	6327	7831
WASF2	14904	8162	9558
AHDC1	4886	8958	6469
FGR	2122	1210	1286
IFI6	2457	1423	720
FAM76A	513	835	816
STX12	2996	6508	2050
PPP1R8	2619	2546	1884
AL109927.1	343	405	534
THEMIS2	3066	1326	3689
RPA2	155	155	255
SMPDL3B	5099	3397	2609
XKR8	1315	1777	2673
EYA3	10916	10682	7989
PTAFR	8888	3175	3923
DNAJC8	3389	4366	2046
ATPIF1	2963	4210	3303
SESN2	1861	1513	940
MED18	6910	1198	3434
PHACTR4	2	1	3
RCC1	5318	3124	2002
TRNAU1AP	3316	861	805
TAF12	7304	7299	6242
RAB42	61	129	76
GMEB1	380	1078	525
YTHDF2	1129	1403	1057
OPRD1	2948	1428	2303
EPB41	709	415	883
TMEM200B	3474	3922	2821
SRSF4	1749	3311	4813
MECR	5608	804	3013
PTPRU	10019	5310	7322
MATN1	1860	3229	968
LAPTM5	3388	2492	4050
SDC3	2116	491	1318
PUM1	5097	2236	2130
NKAIN1	301	303	368
SNRNP40	11169	6505	5953
ZCCHC17	3550	4173	4255
FABP3	1627	1493	1011
SERINC2	1217	2663	7119
TINAGL1	9282	10971	10083
HCRTR1	2219	1978	2401
PEF1	2100	2772	5927
COL16A1	718	741	741
ADGRB2	1613	1791	936
SPOCD1	1545	2981	2733
PTP4A2	4731	1227	2018
KHDRBS1	641	479	446
TMEM39B	567	1467	470
KPNA6	1897	1254	813
TXLNA	1687	4549	3204
CCDC28B	1991	1704	1083
IQCC	1795	1346	605
DCDC2B	3007	1702	737
TMEM234	5873	2130	2040
EIF3I	321	280	159
FAM167B	1707	2185	1118
LCK	572	1629	2062
HDAC1	149	199	102
MARCKSL1	8050	9419	2883
TSSK3	670	2092	2711
FAM229A	425	1525	1821
BSDC1	82	136	113
RP1-27O5.3	1856	1576	1918
ZBTB8B	373	296	651
ZBTB8A	1711	2620	1397
ZBTB8OS	1710	1261	1269
RBBP4	5115	9664	9922
SYNC	74	299	602
KIAA1522	3714	4160	10743
YARS	66	217	96
S100PBP	940	1139	2467
FNDC5	2146	1056	3452
HPCA	574	707	960
TMEM54	3888	9889	12656
RNF19B	1913	933	1228
AK2	3089	1911	1338
AZIN2	2180	2044	671
TRIM62	7500	13419	10360
ZNF362	1119	5121	6019
A3GALT2	1996	2292	4953
PHC2	8223	11685	10596
ZSCAN20	1192	965	1546
CSMD2	4480	6290	5442
HMGB4	1723	1470	2909
C1orf94	14103	4009	5100
SMIM12	444	496	479
GJB5	3717	1749	1195
GJB4	9717	6435	6718
GJB3	7079	7855	6966
GJA4	1155	1330	1682
DLGAP3	2938	6335	4152
RP11-244H3.4	785	309	250
TMEM35B	2376	2607	2800
ZMYM6	127	41	83
ZMYM1	2292	728	2060
SFPQ	289	393	427
ZMYM4	1883	1073	1477
KIAA0319L	998	1925	904
NCDN	479	942	988
TFAP2E	232	213	382
PSMB2	1030	1130	879
C1orf216	1074	1888	829
CLSPN	10824	9750	5679
AGO4	510	570	1082
AGO1	1701	2273	1630
AGO3	1074	1073	2843
TEKT2	1298	3494	2112
ADPRHL2	1570	3602	2703
COL8A2	2835	492	2627
TRAPPC3	733	1002	671
MAP7D1	4862	4297	6379
THRAP3	238	378	355
SH3D21	2683	3452	2576
EVA1B	1847	366	909
STK40	2187	1196	1644
LSM10	7397	8640	9469
OSCP1	340	655	492
MRPS15	4006	3137	3391
CSF3R	6349	4795	2965
GRIK3	380	543	229
ZC3H12A	1	0	1
MEAF6	5491	4307	3803
SNIP1	6552	6234	6245
DNALI1	1831	2377	5227
GNL2	4711	6793	7370
RSPO1	599	438	317
C1orf109	1282	1204	2062
CDCA8	4443	3722	4253
EPHA10	10541	13270	30039
MANEAL	2760	3253	683
YRDC	24700	15394	11293
C1orf122	5035	4543	4236
MTF1	2357	6757	2546
INPP5B	1436	2672	1421
SF3A3	3321	1281	3523
FHL3	364	300	158
UTP11	404	410	655
POU3F1	4309	1755	2488
RRAGC	5827	7889	10007
MYCBP	6617	10146	14613
RP5-864K19.6	473	1693	1189
GJA9	52	47	52
RHBDL2	783	1225	1062
AKIRIN1	4453	1751	7095
NDUFS5	6628	13786	5417
MACF1	1018	1737	1510
BMP8A	5550	9497	6541
PABPC4	2690	3601	5396
HEYL	3569	2951	2973
NT5C1A	495	592	584
HPCAL4	3188	4843	5606
PPIE	5352	6995	8210
BMP8B	303	302	289
OXCT2	5140	5390	14012
TRIT1	9376	8559	2952
MYCL	7455	3958	5298
MFSD2A	1541	2531	1400
CAP1	2023	6244	4804
PPT1	1068	859	364
RLF	4137	1843	5925
TMCO2	508	528	215
ZMPSTE24	6765	6043	4288
COL9A2	347	222	131
SMAP2	7404	6146	6586
ZFP69B	3308	2325	4310
ZFP69	3513	4840	2089
EXO5	691	473	600
ZNF684	1617	1103	1931
RIMS3	2579	2917	1757
NFYC	2214	3734	3805
KCNQ4	577	483	718
CITED4	8065	8244	10137
CTPS1	1363	3088	1736
SLFNL1	2782	2395	6066
SCMH1	3570	2655	4793
FOXO6	487	675	897
EDN2	210	474	180
HIVEP3	7524	1264	2690
GUCA2B	9364	5321	5152
GUCA2A	20543	16522	10843
FOXJ3	3230	1585	1442
RIMKLA	7315	28474	29619
ZMYND12	5178	7416	2403
PPCS	3493	3189	4859
CCDC30	672	675	1740
PPIH	2543	7051	2601
YBX1	2569	2329	3285
CLDN19	4007	7825	5638
P3H1	874	1327	1112
C1orf50	585	1075	695
RP5-994D16.12	798	912	940
RP5-994D16.11	564	604	1266
SVBP	1290	1032	468
ERMAP	1261	1287	2957
ZNF691	585	938	1135
SLC2A1	588	627	432
FAM183A	2634	2684	3186
EBNA1BP2	7788	2037	5615
CFAP57	512	518	469
TMEM125	2816	586	1720
C1orf210	2706	1397	2474
TIE1	1809	1982	908
MPL	1826	1514	958
CDC20	7557	5652	3609
ELOVL1	33	38	19
MED8	366	1153	843
SZT2	2225	4704	5745
HYI	1048	1471	1199
PTPRF	3860	4081	4880
KDM4A	1331	624	608
ST3GAL3	1914	928	751
ARTN	2041	2109	1036
IPO13	21958	18597	10471
DPH2	104	52	80
ATP6V0B	722	1192	580
B4GALT2	1408	2110	1775
CCDC24	682	1395	2949
SLC6A9	544	392	987
KLF17	6656	9060	4965
KLF18	7274	11149	4079
DMAP1	299	322	438
ERI3	724	328	247
RNF220	3790	3887	4521
TMEM53	3125	2525	1547
C1orf228	10678	8849	8363
KIF2C	24718	20098	15811
RPS8	1171	2697	1706
BEST4	866	2768	1764
PLK3	1636	1211	2775
TCTEX1D4	3651	3049	3400
BTBD19	2702	1266	1249
PTCH2	1305	1970	2029
EIF2B3	6545	4718	5873
HECTD3	1989	4468	552
UROD	6777	7747	8528
ZSWIM5	1094	911	1529
HPDL	4873	7452	5326
MUTYH	200	232	90
TOE1	72	109	85
TESK2	534	378	559
CCDC163P	1663	2236	714
MMACHC	6929	2969	2229
PRDX1	3804	912	2380
AKR1A1	441	513	234
NASP	5723	4631	3086
CCDC17	647	956	980
GPBP1L1	1831	1153	973
TMEM69	1897	2738	1059
IPP	2385	2251	3004
MAST2	7182	4749	5726
PIK3R3	241	1291	764
TSPAN1	152	295	240
RP11-322N21.2	3910	7197	4566
POMGNT1	387	733	1067
LURAP1	7829	2893	3424
RAD54L	2810	2271	2388
LRRC41	2235	1776	1921
UQCRH	2578	8002	6245
NSUN4	854	199	324
FAAH	1772	2435	1333
DMBX1	1322	1935	2191
RP11-49P4.7	1236	1321	2236
KNCN	641	448	1144
MKNK1	2774	2180	2014
MOB3C	4129	8676	4519
ATPAF1	615	628	342
TEX38	1432	1127	1196
EFCAB14	7149	2810	3081
CYP4B1	7888	11044	9183
CYP4A11	1297	1399	945
CYP4X1	3299	5515	2080
CYP4Z1	2159	4110	6096
CYP4A22	8501	7082	6226
PDZK1IP1	219	301	144
TAL1	8986	7685	3521
STIL	279	1179	556
CMPK1	1085	854	1198
FOXE3	43	103	111
FOXD2	3311	1204	2420
TRABD2B	3639	3964	1927
AL356289.1	6	3	11
SLC5A9	1560	1685	1619
SPATA6	18221	6862	4909
AGBL4	1043	1329	1723
BEND5	2815	2229	3030
ELAVL4	979	1289	1669
DMRTA2	30	62	50
FAF1	30	46	29
CDKN2C	7077	13056	2067
C1orf185	2299	1114	775
RNF11	710	1208	837
TTC39A	3505	1328	5954
EPS15	6206	7378	8519
OSBPL9	764	477	368
NRDC	1148	1220	724
RAB3B	2142	820	990
TXNDC12	835	670	1771
KTI12	2598	1633	2109
BTF3L4	141	160	194
ZFYVE9	2650	2200	5291
CC2D1B	1845	1159	1368
ORC1	155	131	217
PRPF38A	3277	2840	2713
ZCCHC11	260	452	215
GPX7	916	1443	1203
FAM159A	3664	3288	4051
COA7	1347	951	1199
ZYG11B	2086	847	1749
ZYG11A	5630	3180	4455
ECHDC2	6920	3322	5311
SCP2	165	188	247
AL445183.1	2865	2983	6114
PODN	8816	3818	3454
SLC1A7	459	226	326
CPT2	4277	5982	6005
C1orf123	828	528	1212
MAGOH	2271	738	1530
LRP8	4794	2198	1935
DMRTB1	4180	9543	3808
GLIS1	1785	2445	1878
NDC1	189	166	149
YIPF1	567	318	854
DIO1	3484	7902	2529
HSPB11	791	1416	567
LRRC42	950	1966	1598
LDLRAD1	4652	1603	2722
TMEM59	755	728	834
TCEANC2	789	868	967
RP11-446E24.4	2999	1533	1473
CDCP2	309	302	379
CYB5RL	830	671	607
MRPL37	774	807	736
SSBP3	11277	12271	13497
ACOT11	9554	13478	24341
FAM151A	866	1177	2350
MROH7	3311	3846	6525
MROH7-TTC4	4022	2237	1623
TTC4	1348	1183	1403
PARS2	444	1319	576
TTC22	3043	2932	3479
LEXM	2585	1392	2163
DHCR24	117	151	64
TMEM61	567	202	345
BSND	21652	15933	6415
PCSK9	2460	2529	8484
USP24	11620	5719	6097
PLPP3	1024	865	893
PRKAA2	675	2090	1181
C1orf168	3729	2237	1658
C8A	3321	2226	2630
C8B	5733	35619	18502
DAB1	18601	9547	13208
OMA1	1791	1431	1343
TACSTD2	2461	1689	2202
MYSM1	494	236	412
JUN	5511	7490	6209
FGGY	5736	5318	12102
HOOK1	1310	4512	3256
CYP2J2	685	569	666
C1orf87	5869	7809	8508
NFIA	9530	17110	20071
TM2D1	4701	3678	8975
PATJ	2269	1613	2378
L1TD1	2594	4447	4204
KANK4	6060	4338	5222
USP1	15	8	18
DOCK7	2565	2889	4616
ANGPTL3	2406	5343	783
ATG4C	2629	1509	848
FOXD3	3091	2085	2515
ALG6	4152	4388	4287
ITGB3BP	4031	4635	9006
EFCAB7	1727	1043	1223
PGM1	3265	8892	4359
ROR1	1226	929	806
UBE2U	1676	1260	3466
CACHD1	822	922	1764
RAVER2	2383	6144	7577
JAK1	666	447	205
AK4	3227	1447	1548
DNAJC6	884	731	588
LEPROT	288	280	586
LEPR	579	527	1106
PDE4B	11815	7168	7333
SGIP1	4914	6526	2317
TCTEX1D1	5046	2824	3565
INSL5	3093	3895	4394
WDR78	3844	2066	3150
MIER1	4237	2903	4500
SLC35D1	6983	6762	6548
C1orf141	2025	3320	1454
IL23R	93	163	204
IL12RB2	654	622	401
SERBP1	758	919	1064
GADD45A	4479	2917	1760
GNG12	492	856	601
DIRAS3	903	876	652
WLS	1978	2168	3629
RPE65	827	529	1534
DEPDC1	618	1448	1430
LRRC7	6547	5814	3479
LRRC40	682	866	1642
SRSF11	7289	6100	4979
ANKRD13C	34	41	75
HHLA3	5859	4306	2723
AL158839.1	19116	5606	10532
CTH	679	732	309
PTGER3	1840	1772	1324
ZRANB2	1509	2232	954
NEGR1	1972	3565	2674
LRRIQ3	1073	1576	1481
FPGT	928	1416	1555
FPGT-TNNI3K	7128	3773	3568
TNNI3K	592	863	822
LRRC53	4862	4528	6365
ERICH3	4805	4070	7184
CRYZ	432	449	983
TYW3	10288	4476	2539
LHX8	700	509	125
SLC44A5	3227	4092	4227
ACADM	2109	2897	2797
RABGGTB	1116	2566	1326
MSH4	515	751	480
ASB17	3531	2925	3337
ST6GALNAC3	119	56	41
ST6GALNAC5	1073	1896	620
PIGK	1056	911	1206
AK5	2884	1836	2142
ZZZ3	2112	3502	1827
USP33	5232	2980	10195
FAM73A	1050	911	1725
NEXN	1074	2159	1182
FUBP1	2352	2110	3551
DNAJB4	4642	4361	5580
GIPC2	1807	1412	1038
PTGFR	1294	1072	866
IFI44L	2459	3519	2091
IFI44	3669	5320	8197
ADGRL4	3774	3528	3009
ADGRL2	1599	1588	2307
TTLL7	6408	6624	8556
PRKACB	8647	6794	13751
SAMD13	3387	1530	1863
DNASE2B	887	937	807
RPF1	8077	10825	3738
GNG5	979	2303	862
CTBS	1680	841	928
SSX2IP	1663	5217	2813
LPAR3	413	1105	623
MCOLN2	920	1523	2187
WDR63	3538	3029	1565
MCOLN3	1298	590	634
SYDE2	393	772	734
C1orf52	13339	3135	7552
BCL10	722	877	798
DDAH1	1973	2829	4090
CYR61	3946	11465	8608
ZNHIT6	2345	2376	2503
COL24A1	273	301	122
ODF2L	532	330	448
CLCA2	225	86	116
CLCA1	974	905	1110
CLCA4	368	1047	617
SH3GLB1	2521	1661	3534
SEP15	68	118	60
HS2ST1	908	1966	452
RP5-1052I5.2	12180	11815	15752
LMO4	5848	5316	7223
PKN2	910	835	969
GTF2B	99	52	84
KYAT3	86	101	276
RBMXL1	1859	4685	2236
GBP3	5309	3712	2562
GBP1	3225	2796	1966
GBP2	5648	9662	4169
GBP7	5047	2242	1814
GBP4	1916	923	1416
GBP5	146	57	33
GBP6	751	874	1084
LRRC8B	5223	6988	7883
LRRC8C	173	365	374
RP11-302M6.4	1933	2321	3335
LRRC8D	79	136	198
ZNF326	812	506	587
BARHL2	355	632	376
ZNF644	241	326	124
HFM1	1323	274	768
CDC7	3990	5518	2214
TGFBR3	263	288	213
BRDT	1810	1353	1984
EPHX4	6174	3656	6381
SETSIP	539	354	905
BTBD8	6153	13732	6210
KIAA1107	2943	610	1446
C1orf146	1347	1136	435
GLMN	4091	3196	6186
RPAP2	5486	7742	4009
GFI1	5611	7209	3478
EVI5	50	55	45
RPL5	3	3	5
FAM69A	141	191	266
MTF2	2823	2793	1837
TMED5	34	80	112
CCDC18	157	110	186
DR1	5884	4374	4247
FNBP1L	608	826	513
BCAR3	264	237	231
DNTTIP2	707	734	1573
GCLM	2430	5274	4515
ABCA4	3919	4229	797
ARHGAP29	892	2099	676
ABCD3	264	210	341
F3	1469	1691	1117
SLC44A3	1295	4621	3871
