#gene	sample1	sample2	sample3	sample4	sample5	sample6
TP73	6972	2493	3275	4206	4458	4853
CCDC27	614	1170	679	431	367	758
SMIM1	481	396	559	336	687	561
LRRC47	87	39	98	105	261	66
CEP104	3569	4768	9912	4206	3333	4615
DFFB	524	292	372	465	281	453
C1orf174	7384	6510	3884	9842	16345	8746
AJAP1	1292	480	1233	2137	1643	2490
NPHP4	41	62	47	98	118	98
KCNAB2	1011	2351	1871	1780	1371	2199
CHD5	595	565	925	1281	787	407
RPL22	10149	10086	13269	19178	15294	13837
RNF207	3230	2867	3446	1624	4825	6347
ICMT	1555	1485	1231	1283	1144	2164
HES3	21	12	15	27	17	5
GPR153	566	870	695	790	414	934
ACOT7	1286	592	1822	979	845	2689
HES2	4115	7530	4777	4533	3693	3555
ESPN	16346	7635	15640	14363	12818	17023
TNFRSF25	576	894	283	1536	435	658
PLEKHG5	6076	3467	3240	4338	5392	7674
NOL9	6075	7379	6592	13404	5798	5953
TAS1R1	1416	2598	1035	1208	1989	2188
ZBTB48	1948	1090	880	3181	1476	2245
KLHL21	2652	5339	2490	8956	5533	8542
PHF13	2466	2397	2102	1729	887	3816
THAP3	1578	2674	2693	2019	2921	3646
DNAJC11	1681	1964	1309	1732	794	1391
CAMTA1	341	1573	1405	1170	3659	2662
VAMP3	10204	11384	16399	18391	12449	12806
PER3	5376	7151	3089	5808	6150	10286
UTS2	367	231	473	213	479	194
TNFRSF9	794	722	709	1733	807	944
PARK7	1675	1530	3093	2624	2822	3985
ERRFI1	799	1557	824	674	944	1150
SLC45A1	208	407	320	535	480	347
RERE	3877	2813	2748	4275	4288	7880
ENO1	2548	3391	9648	8752	3721	5611
CA6	2227	1087	2164	3804	2846	1733
SLC2A7	7740	3587	5624	3731	4160	5477
SLC2A5	542	768	1618	970	973	945
GPR157	959	1122	691	1604	810	1432
H6PD	163	140	162	230	136	261
SPSB1	191	245	211	221	379	222
SLC25A33	2113	1422	750	1382	755	1484
TMEM201	657	587	1322	1374	1660	2025
PIK3CD	6435	6072	2848	4778	3820	2711
CLSTN1	8833	2329	3051	8819	4943	4423
AL357140.1	2988	3643	3312	4151	4175	2111
CTNNBIP1	1430	2594	2116	2564	3991	2563
LZIC	725	1781	1235	2853	2726	1804
NMNAT1	80	71	63	95	64	43
RBP7	559	1985	2640	2340	2195	3784
UBE4B	1747	3002	2720	3986	3387	3249
KIF1B	56	57	32	33	54	149
PGD	2865	3522	1253	3156	3244	1581
APITD1-CORT	8189	16575	8245	16947	15634	12478
APITD1	553	1032	1444	1589	1429	1444
CORT	4754	1871	3856	4371	3828	2397
DFFA	16	31	18	22	45	15
PEX14	3168	5602	5683	4570	4195	4670
CASZ1	790	1693	865	478	1504	948
C1orf127	924	754	669	1019	754	1249
TARDBP	1811	4759	1283	3046	5049	2896
RP4-635E18.9	349	114	318	579	294	301
MASP2	5784	5632	6114	6527	6433	5480
SRM	1307	2453	2108	1939	2129	1823
EXOSC10	6577	8693	14664	10504	11125	10309
MTOR	6244	2874	8064	7372	4349	4483
ANGPTL7	879	559	778	791	1400	800
UBIAD1	262	155	96	336	187	171
DISP3	663	290	469	762	1141	719
FBXO2	3257	7157	4431	3492	4578	10276
FBXO44	3904	1645	1540	3265	6971	5784
FBXO6	38	41	20	37	61	59
MAD2L2	5435	3193	5234	10066	4462	6096
DRAXIN	2814	7361	3544	2991	3959	3989
AGTRAP	107	163	249	364	164	390
C1orf167	1736	3462	1029	1703	632	2474
MTHFR	1428	1677	2266	1162	1805	1902
CLCN6	63	73	110	109	104	89
NPPA	944	1205	3166	2888	2570	1746
NPPB	330	624	286	846	352	715
KIAA2013	1476	3683	2243	1705	2109	2716
PLOD1	1418	1047	1255	3387	2230	1381
MFN2	384	1139	719	872	843	192
MIIP	1700	4943	3476	2831	4012	3247
TNFRSF8	1318	1198	1075	3085	1647	659
TNFRSF1B	236	647	419	802	1301	450
VPS13D	141	79	159	165	175	69
DHRS3	1676	1977	6047	8167	3086	5464
AADACL4	3801	2990	3692	4818	2512	3674
AADACL3	2362	3279	7362	4184	4146	3591
C1orf158	512	394	1255	554	852	942
PRAMEF12	1799	2112	2411	2579	1994	1786
PRAMEF1	2939	792	3242	4015	4267	1844
PRAMEF11	409	892	513	1795	825	2140
HNRNPCL1	2404	3962	3764	10631	5846	8461
PRAMEF2	8437	10139	6915	2753	8421	11544
PRAMEF4	4584	2727	5460	4566	3257	4672
PRAMEF10	362	454	830	798	420	460
PRAMEF7	1837	1799	1709	1049	1854	1401
PRAMEF6	4012	3105	5465	3412	4455	4238
PRAMEF27	1163	2523	1968	4401	1723	994
PRAMEF25	17405	4066	8844	12141	12648	8586
HNRNPCL3	35	57	62	32	30	62
HNRNPCL2	566	483	626	1157	749	466
PRAMEF26	2174	1548	2470	2176	3351	1551
HNRNPCL4	1654	535	2460	771	2655	796
PRAMEF9	10682	5071	6235	12558	10574	9814
PRAMEF18	1051	647	1053	1676	1080	358
PRAMEF5	1971	1284	1096	912	907	948
PRAMEF8	8464	6763	7429	14595	4998	3754
PRAMEF15	6792	7230	8623	8099	9516	5543
PRAMEF14	4605	2214	2983	4919	2838	5717
PRAMEF19	524	1276	585	615	729	1542
PRAMEF17	401	307	361	795	773	1264
PRAMEF20	1565	1435	1218	2355	2361	1236
LRRC38	1899	2396	1899	1948	2249	1870
PDPN	1121	673	1060	1041	1664	1336
PRDM2	2971	6929	3069	5549	7699	8627
KAZN	1955	3957	2589	1994	2015	3231
TMEM51	1927	1816	1769	2219	1896	1289
FHAD1	777	1435	1083	1748	1709	1736
EFHD2	164	184	170	224	456	261
CTRC	668	2075	914	1325	2013	2103
CELA2A	614	605	908	765	665	272
CELA2B	13598	13784	8584	4983	8112	6625
CASP9	1396	1171	709	775	4539	2350
DNAJC16	3323	2543	2341	10362	6158	6396
AGMAT	394	1700	493	1214	759	818
DDI2	4799	3298	6384	3385	8480	3572
RSC1A1	117	145	25	198	145	140
PLEKHM2	8489	5505	12915	7900	4397	4413
SLC25A34	443	351	638	446	344	414
TMEM82	405	429	253	379	343	337
FBLIM1	749	575	679	1925	1358	606
UQCRHL	3360	2669	2187	4634	3839	2757
SPEN	6695	4491	7553	2181	11091	4157
ZBTB17	3686	4885	2078	4556	3194	1817
C1orf64	3796	1374	1543	2661	1975	2884
HSPB7	1193	2095	2448	2329	2063	1477
CLCNKA	1293	1330	562	1243	830	2203
CLCNKB	795	429	434	1370	947	1439
FAM131C	1132	2275	2379	1373	1383	3987
EPHA2	5270	10213	7779	6044	9394	8048
ARHGEF19	1257	930	692	729	544	1787
RSG1	2842	1567	1760	1658	3257	2070
FBXO42	503	207	407	329	413	379
SZRD1	1614	1840	2424	2414	1808	4688
SPATA21	665	2546	1605	3232	1757	1225
NECAP2	688	629	1355	1520	1309	1047
FAM231B	767	766	813	919	1263	1092
NBPF1	4819	4142	2025	4890	3989	3908
FAM231A	3928	7803	4158	3306	3963	3683
FAM231C	710	1171	1415	545	1540	2139
CROCC	784	1079	781	1238	959	1281
MFAP2	2012	2735	1666	1660	3127	2393
ATP13A2	1925	1857	1903	1555	710	1835
SDHB	2363	4238	3663	3175	3790	2002
PADI2	27	20	49	10	17	41
PADI1	2406	3030	2895	2945	3566	2644
PADI3	120	243	261	295	647	368
PADI4	1960	2983	2458	5520	4260	4693
AC004824.1	858	344	807	573	551	859
PADI6	5387	4899	13208	14444	5730	6442
RCC2	3791	7701	3283	7278	4139	2984
ARHGEF10L	7684	7988	9149	6054	7140	7209
ACTL8	135	63	184	57	67	69
IGSF21	197	62	104	179	153	61
KLHDC7A	611	898	473	443	480	832
PAX7	4784	2328	3538	6533	3901	3249
TAS1R2	1101	1095	1148	1023	1070	2061
RP13-279N23.2	4468	6307	2909	10342	6025	6940
ALDH4A1	528	1058	331	824	724	641
IFFO2	669	492	547	604	244	344
UBR4	9786	16845	3208	7500	22129	11114
EMC1	350	467	384	459	418	250
MRTO4	534	493	342	482	397	471
AKR7A3	278	1881	1324	1027	519	389
AKR7A2	3698	2446	3348	4122	4024	4419
PQLC2	2300	2340	1377	3416	1056	1182
CAPZB	1474	2365	985	2392	3432	3471
MINOS1	1389	2803	1324	4071	1164	2180
MINOS1-NBL1	1090	875	1453	738	884	832
NBL1	214	205	158	254	225	193
HTR6	270	158	176	198	389	232
TMCO4	391	527	636	1561	949	1114
RNF186	2432	1679	1328	1316	1570	1996
OTUD3	919	1122	436	845	433	617
PLA2G2E	335	551	697	951	424	1521
PLA2G2A	354	1158	1114	947	905	954
PLA2G5	860	1361	1813	1248	684	1370
PLA2G2D	2511	1488	3286	1533	1907	3654
PLA2G2F	4011	7090	5671	5855	5659	7336
PLA2G2C	564	1167	1012	1106	1454	922
UBXN10	10	11	8	2	6	10
VWA5B1	4633	9892	4638	9188	5368	10683
CAMK2N1	840	1002	559	794	373	1196
MUL1	2079	1788	1491	769	1668	1456
FAM43B	2161	4692	1381	2540	1627	2828
CDA	1569	352	1334	1086	1892	1095
PINK1	1437	606	822	1735	1603	405
DDOST	162	454	640	635	602	318
KIF17	2157	2310	1213	2328	1654	989
SH2D5	4679	2389	1410	4424	3396	3608
HP1BP3	2161	1392	3513	1984	2070	4784
EIF4G3	1846	1363	1097	2563	3605	2912
ECE1	23	25	23	47	33	101
NBPF3	748	441	1082	825	1939	1112
ALPL	1495	1593	607	1313	1729	1616
RAP1GAP	874	2112	917	1863	1491	2120
USP48	2280	662	2490	560	1370	3312
LDLRAD2	1125	1281	1002	1023	1017	1388
HSPG2	847	681	1121	1027	1267	1897
CELA3B	24059	8893	11708	17027	17349	20893
CELA3A	16	11	16	18	18	14
CDC42	47	116	65	113	58	86
WNT4	1872	873	1211	1002	1907	1156
ZBTB40	5942	2687	6536	9194	11416	7000
EPHA8	157	142	114	291	179	232
C1QA	12	16	21	8	15	11
C1QC	920	1657	1236	1653	1698	1160
C1QB	2268	2307	2802	4625	2432	1284
EPHB2	7189	6697	4616	10657	12494	19230
LACTBL1	424	1030	592	917	746	843
C1orf234	1079	2893	1702	2381	1726	2428
KDM1A	4451	3123	2508	6023	6395	5254
LUZP1	3432	1174	4732	5891	2893	3656
HTR1D	5692	11261	6887	7447	9737	3611
HNRNPR	1560	3595	1150	3064	2702	3070
ZNF436	208	351	408	200	1204	492
TCEA3	1523	2603	2312	10068	7310	5556
ASAP3	5678	5319	5376	7341	6212	4275
E2F2	98	61	83	197	36	53
ID3	1981	2775	2409	3659	6169	3972
MDS2	237	95	203	197	274	183
RPL11	6194	2287	1813	2254	2848	4594
TCEB3	1304	467	608	1183	627	1024
PITHD1	8298	12805	9245	9460	5296	10125
LYPLA2	2359	2493	2172	2415	2248	1884
GALE	2934	2790	2430	3350	3594	1655
HMGCL	1853	3417	3931	3376	1761	4386
FUCA1	211	292	327	441	104	344
CNR2	841	755	793	1009	423	824
PNRC2	272	383	506	597	249	426
SRSF10	70	26	32	65	79	54
MYOM3	265	154	95	117	269	367
IL22RA1	340	160	282	498	565	285
IFNLR1	1251	1155	1224	429	1260	1517
GRHL3	1109	1008	1210	789	1411	1028
STPG1	1633	1020	877	1210	2124	1272
NIPAL3	5050	8525	9716	17472	22415	30708
RCAN3	2603	6032	2616	3428	2435	3446
NCMAP	2729	3636	1787	2606	1862	1817
SRRM1	1176	1037	977	980	734	1146
CLIC4	4658	10699	3653	5741	9010	16044
RUNX3	795	458	662	761	556	147
SYF2	435	440	696	328	501	441
RSRP1	3589	4654	4859	5852	6630	5589
RHD	1339	665	1430	3829	2422	5226
TMEM50A	215	181	168	206	195	183
RHCE	310	137	323	516	888	424
TMEM57	8964	5644	5446	5966	9938	9196
LDLRAP1	103	84	149	290	252	314
MAN1C1	621	955	794	414	486	375
SEPN1	3320	4038	3530	7828	4685	1769
RP1-317E23.6	2288	3398	2385	9420	5043	5345
MTFR1L	4503	2211	5079	7224	8014	2350
AUNIP	943	1881	1017	1408	1209	1563
PAQR7	4292	1567	6149	5704	5848	3857
STMN1	1412	1224	1487	1705	1641	3292
PAFAH2	268	167	370	287	394	461
EXTL1	1568	1320	746	4292	2860	2154
SLC30A2	1399	1321	1850	2331	827	2262
TRIM63	758	741	698	964	1466	569
PDIK1L	4428	3339	4064	8443	5022	6654
FAM110D	1343	1021	2158	1004	2314	2999
RP11-96L14.8	10	13	12	17	28	9
RP11-96L14.7	3517	4337	3164	4425	2892	3372
ZNF593	1663	3264	1841	3678	5690	2128
CNKSR1	3914	6187	2065	8110	3717	5372
CATSPER4	333	924	704	1241	902	1580
CEP85	261	272	176	670	356	597
SH3BGRL3	1156	911	1095	2086	1842	2685
UBXN11	1052	867	1806	2853	986	2409
CD52	814	1502	934	2114	1147	1008
AIM1L	5252	9263	4060	7800	5930	4587
ZNF683	4065	3054	2290	6258	3277	4457
LIN28A	1827	1182	2132	2325	1447	1770
DHDDS	5426	8504	18965	34931	14532	16266
HMGN2	362	101	411	446	760	841
RPS6KA1	2696	947	2230	4743	1646	2193
ARID1A	1062	1321	3199	3183	2000	1583
PIGV	7841	6008	5202	5855	9579	6254
ZDHHC18	435	722	883	624	2026	883
SFN	823	506	571	1127	967	1259
GPN2	4	11	4	5	9	7
GPATCH3	4463	2555	5861	6924	2226	4118
NUDC	4152	2700	1876	4276	3149	2818
NR0B2	1602	1166	587	1990	941	2136
KDF1	4917	5603	6852	4147	5656	3702
TRNP1	5382	11403	8916	9380	12535	16177
FAM46B	3988	5606	4193	4177	7742	9248
AL137860.1	4328	4655	857	4276	3317	4856
SLC9A1	1423	1745	2460	1282	2466	1647
WDTC1	820	426	1132	600	1706	758
TMEM222	71	86	155	211	118	293
SYTL1	1159	1386	1333	1262	571	1063
MAP3K6	972	971	856	987	1121	467
FCN3	842	1638	1914	2720	1798	1485
CD164L2	172	143	184	198	65	194
GPR3	4077	2139	4694	1132	3125	7882
WASF2	11182	6572	8078	14249	7140	12032
AHDC1	4931	7738	3923	11015	8939	8523
FGR	1270	954	1099	553	632	1030
IFI6	620	990	1693	924	898	861
FAM76A	457	475	729	677	504	492
STX12	4774	4498	3557	5331	6315	3741
PPP1R8	1918	1225	1061	1795	1885	3564
AL109927.1	368	130	138	203	289	435
THEMIS2	3993	1653	2819	2608	1617	4096
RPA2	94	174	152	301	207	299
SMPDL3B	2026	4038	1270	3447	3953	5043
XKR8	2403	1585	1863	3605	1657	2448
EYA3	4568	2610	6341	3983	8874	8181
PTAFR	2248	4079	5262	1846	5776	8297
DNAJC8	4808	4018	5408	5027	3971	2154
ATPIF1	1852	1878	1872	2287	1980	4241
SESN2	980	1444	843	1368	2702	1432
MED18	4594	1590	1843	3190	3594	10659
PHACTR4	1	3	2	4	3	3
RCC1	1803	3003	1341	2709	1529	1746
TRNAU1AP	678	961	1077	885	743	1663
TAF12	9566	7048	7143	2339	8168	6090
RAB42	78	82	56	87	61	126
GMEB1	485	423	246	532	622	704
YTHDF2	2815	528	1358	628	690	1161
OPRD1	1046	1538	1877	2948	1610	1312
EPB41	1744	940	492	1303	873	966
TMEM200B	4203	5262	3598	2573	2580	5785
SRSF4	3575	2551	4013	3266	4801	2090
MECR	2856	3526	3517	3656	5139	3028
PTPRU	2453	3297	4261	3650	6192	6656
MATN1	2199	1804	4426	2190	3967	1430
LAPTM5	1974	2485	2000	2442	3245	2380
SDC3	856	1121	1792	587	1016	1031
PUM1	4292	3226	4609	6679	5450	10911
NKAIN1	389	151	560	241	741	442
SNRNP40	3349	8508	4310	6593	7957	3404
ZCCHC17	3719	2797	4848	12531	3596	4271
FABP3	2309	1268	1351	2086	1225	2239
SERINC2	1594	2070	731	2573	3055	1307
TINAGL1	3610	7043	8354	5870	17071	11458
HCRTR1	1911	1938	1172	982	789	2723
PEF1	2450	1681	3528	3491	4842	6050
COL16A1	780	388	489	693	647	1474
ADGRB2	1491	1600	2023	2058	1558	3112
SPOCD1	2491	6013	2262	2731	1187	3435
PTP4A2	1287	1714	1569	507	2903	2147
KHDRBS1	616	517	705	507	453	825
TMEM39B	539	747	431	1084	636	854
KPNA6	1091	689	1345	1863	1007	1368
TXLNA	4631	1223	5054	2759	5222	4427
CCDC28B	1110	626	1351	1681	935	1941
IQCC	818	899	683	1129	1007	1278
DCDC2B	528	1458	2002	3222	6823	2469
TMEM234	2827	2891	1253	5279	2814	3303
EIF3I	489	276	449	286	420	220
FAM167B	1644	1239	2476	1064	3243	1475
LCK	1307	887	855	1134	922	1160
HDAC1	63	90	245	74	116	151
MARCKSL1	3608	5012	4250	2381	7426	3277
TSSK3	1957	1111	2508	2542	1569	2467
FAM229A	530	518	423	823	789	1335
BSDC1	118	71	75	94	69	122
RP1-27O5.3	1679	918	667	2336	2227	1924
ZBTB8B	191	337	687	277	484	377
ZBTB8A	1296	1331	1912	2517	764	3122
ZBTB8OS	973	1979	715	916	1487	1096
RBBP4	7816	7521	4346	6802	5685	4963
SYNC	371	337	224	496	364	504
KIAA1522	4557	3463	4279	3644	2135	6913
YARS	39	178	59	359	113	179
S100PBP	1038	1357	1450	799	1285	2564
FNDC5	1798	3421	1197	1217	5567	1956
HPCA	786	1037	1112	879	935	2034
TMEM54	2833	5070	3822	6242	5547	14412
RNF19B	746	1584	701	1961	1146	1981
AK2	1740	753	1046	1020	2458	2806
AZIN2	2075	1879	595	1076	1328	1877
TRIM62	4631	7547	11867	21772	2707	13152
ZNF362	4028	3080	2674	3181	1711	3354
A3GALT2	2690	1945	2568	2265	2295	4768
PHC2	8153	13902	12912	4942	10330	11716
ZSCAN20	1393	3449	1435	1091	3126	3324
CSMD2	4706	4700	1545	6559	3737	2952
HMGB4	670	1187	1167	2072	3081	1287
C1orf94	3676	3298	5500	7128	5118	8433
SMIM12	113	249	371	256	854	520
GJB5	6948	3339	3083	6879	3142	3394
GJB4	6352	6056	3510	7115	11476	5399
GJB3	6850	7087	4387	6799	5662	7412
GJA4	604	696	411	1019	1199	1249
DLGAP3	2467	3980	3481	5271	5402	7809
RP11-244H3.4	698	753	1282	603	682	762
TMEM35B	3493	2250	2965	6174	4984	6169
ZMYM6	104	76	66	231	134	45
ZMYM1	885	308	1754	1106	630	588
SFPQ	340	175	193	419	259	333
ZMYM4	439	1654	1212	2403	487	1211
KIAA0319L	2996	1197	1018	2551	3120	757
NCDN	508	446	249	232	445	609
TFAP2E	602	110	243	382	155	526
PSMB2	432	745	370	1291	1275	1547
C1orf216	2249	1731	1794	1598	1782	2153
CLSPN	3762	3059	4034	6992	16082	8148
AGO4	739	703	764	301	556	1014
AGO1	2897	1350	545	1842	1503	3360
AGO3	1312	1227	963	637	1435	1396
TEKT2	1386	1207	1424	1207	2070	1160
ADPRHL2	2663	2086	2072	2230	2175	2086
COL8A2	1036	1545	1161	922	682	1406
TRAPPC3	304	1157	209	583	1253	153
MAP7D1	3939	4699	5561	7584	12132	6255
THRAP3	420	279	269	284	258	541
SH3D21	2060	2045	1677	3261	2102	5451
EVA1B	311	454	952	1323	588	789
STK40	1586	1696	1219	1373	4205	2117
LSM10	4291	5639	4920	7531	13970	5999
OSCP1	645	558	244	479	432	288
MRPS15	1456	2138	2771	1604	2602	2480
CSF3R	2662	4702	4200	2487	4744	1720
GRIK3	417	568	347	779	296	290
ZC3H12A	1	2	1	0	0	0
MEAF6	4045	4442	4050	1919	2377	5228
SNIP1	8907	6806	12411	7600	19672	12187
DNALI1	738	2116	1097	2222	3123	2064
GNL2	9261	12245	11306	6700	5775	16381
RSPO1	545	307	846	723	431	361
C1orf109	1469	844	764	1020	2255	2692
CDCA8	3856	3669	4318	2151	4642	4675
EPHA10	2878	5127	18666	8932	34051	8747
MANEAL	1160	934	952	1139	1707	502
YRDC	14348	9504	12726	10633	26054	11362
C1orf122	3745	3667	3438	2063	3051	5808
MTF1	1757	6431	2637	5343	4596	2858
INPP5B	954	465	1811	2327	1186	1728
SF3A3	2087	3184	2589	6284	3313	3265
FHL3	380	138	207	230	649	227
UTP11	402	488	293	349	364	759
POU3F1	2905	2077	2483	2319	595	2295
RRAGC	6905	6999	7271	6216	11126	8347
MYCBP	9706	5184	9177	8290	17933	5891
RP5-864K19.6	1469	1871	1318	1395	801	1660
GJA9	65	47	49	18	34	15
RHBDL2	906	850	929	2296	1746	2178
AKIRIN1	4095	1748	1956	4300	3887	1785
NDUFS5	9516	4125	4415	4440	6870	7670
MACF1	1271	761	730	1376	3155	441
BMP8A	3065	9853	4143	3009	6822	5125
PABPC4	3859	7007	1378	4027	6535	2496
HEYL	2558	1415	2934	2673	4381	5750
NT5C1A	170	285	178	513	189	770
