#cell        type      caraway         kiwi
302             1         2251         2344
303             0           25         3886
304             2          254          314
305             3           52           58
306             2          204          199
307             2          203          255
308             2          130          256
309             4         1414           47
310             2          114          547
311             3           57           51
312             1          581         1000
313             1         1294         4459
314             2          194          340
315             2          251          187
316             0           21          646
317             1         1385         4383
318             3           30           18
319             2          184          162
320             2          408          244
321             1          835         4809
322             2          235          150
323             4          406           26
324             2          479           75
325             1         1923         1988
326             2          246          380
327             3           23           18
328             1         1442         1442
329             1         2344         2484
330             2          160          600
331             3           24           47
332             3           61           96
333             2          141          473
334             2          209          670
335             1         1153         1971
336             2          343          229
337             0           24          816
338             3           10           12
339             1          695         1004
340             1          448         1355
341             2          244          371
342             2           34          347
343             2          154          116
344             2          480          309
345             1         3843         1688
346             2          401          205
347             1         1066         3021
348             3           45           38
349             2          242          357
350             4         4388           39
351             1         1984         1407
352             3           17           15
353             2           72          236
354             2           71          283
355             0           51         1414
356             2          449          640
357             2          210           30
358             4          618           21
359             4         1546           28
360             0           26         2931
361             2          260          315
362             2          150          119
363             2          146          424
364             3           36           21
365             2          276          255
366             2          359          216
367             2          390          243
368             3           23           19
369             0           56         2334
370             2          436          557
371             0           33          499
372             1         1204         1697
373             2          522          240
374             3           20           16
375             3            8           40
376             3           15           54
377             2          211          226
378             2          370          378
379             4         1341           21
380             3           41           44
381             1         4258         3152
382             2           84          312
383             2          368          158
384             2          238          283
385             4          668           35
386             2          160          469
387             2          380          563
388             1         3370         2598
389             2          628          100
390             2          229          385
391             2          536          332
392             2           97          212
393             0            8         1058
394             2          448          269
395             2          189           15
396             2          618          209
397             3            9           19
398             2          256          657
399             2           96          254
400             3           43            4
401             2           96         1111
402             1         1074         2800
403             4         1442           42
404             2          321          216
405             1          724         1075
406             1         2357         4242
407             2          201          307
408             2          105          434
409             1         1817         1854
410             2           81          263
411             3           15           61
412             1         3509         3400
413             0           46         2153
414             2          479          292
415             1          445         4604
416             2          135          292
417             2          110          707
418             3           17           69
419             2          450          199
420             3           92           14
421             4         1603           12
422             2          421          473
423             1         1172         1664
424             2          537           75
425             0           37         2907
426             2          281          414
427             1          596         2852
428             4         3046           15
429             2           39          350
430             3           81           47
431             4         2016           22
432             3           18           34
433             2          234          232
434             2          486          396
435             2          259          289
436             3           29           19
437             2          294          194
438             2          172           92
439             1         2862         1853
440             0           27          774
441             2          180          314
442             1         2386         2239
443             3           24           49
444             0           52         1114
445             3            5           18
446             4         2525           47
447             2          184          277
448             0            7         1691
449             2          152          261
450             3           82           24
451             2          304          328
452             3           17           12
453             3           46           15
454             2          179          210
455             4         1769           42
456             2          204          149
457             2          493          672
458             3           44           11
459             3           55           21
460             1         3974         1280
461             2          143          149
462             2          458           90
463             2          185          255
464             2          236          255
465             2          518          366
466             0           20         2294
467             2          176          297
468             1         2281          869
469             3           96           29
470             3            5           18
471             3           22           10
472             0           36         3842
473             2          373          230
474             2          389          207
475             0           23         3116
476             1         2385          543
477             3           44            9
478             1          433          154
479             3           31           16
480             3           16           20
481             2          908          146
482             4          315           37
483             4         2408           19
484             1         1785         2226
485             4          716           36
486             3           14           18
487             4         2203           38
488             2          233          197
489             3           39           18
490             3           54            8
491             3           29           62
492             1          773         1740
493             2          350          351
494             4         2645           23
495             2          382           63
496             0           28         2313
497             1         1479          851
498             2          309          436
499             4         3748           71
500             3           34           46
501             2          199          242
502             3           81           13
503             1          639         3589
504             2          196          388
505             2          209          244
506             1         4388         3568
507             2          187          465
508             1         1606         4241
509             1          997          627
510             4         3994           23
511             1          651          998
512             4         1565            9
513             2          504          372
514             3          120            3
515             2          298          442
516             1         2486         1423
517             2          124          873
518             4         2169           12
519             2          246          146
520             2          351           93
521             2          138          169
522             2          125          104
523             1         1519          519
524             2          312          226
525             0           10         2570
526             2          218          199
527             2          215          453
528             1         1665         4942
529             2          110          248
530             2          505          227
531             0           36         2595
532             3            9            3
533             4         1507           13
534             2          338          101
535             1          652         1218
536             3           33           28
537             1         1667         1344
538             0            7         4130
539             0           21         2353
540             2          187          163
541             2          214          250
542             0           39         3080
543             3           52           14
544             1         1532          780
545             2          207          211
546             2          380          237
547             2          421          355
548             4         2267           40
549             3           33           48
550             1         2143         2381
551             1         1268         2067
552             1         2876          971
553             2          294          547
554             2          729          449
555             4         2051           29
556             3           46           10
557             4         2505           75
558             2          396          591
559             2          106          254
560             2          154          326
561             3           10           18
562             2          287          215
563             3           29           30
564             1         2437         3499
565             4         2354           17
566             1          797          927
567             1         2024         2016
568             2          174          124
569             1         1413         1346
570             1         3460          606
571             4          952           25
572             2          175          164
573             3            4           12
574             1         1515         1051
575             4         3033           32
576             2          334          228
577             2          192          109
578             0           29         1165
579             3           48           20
580             0           48         1292
581             1         1198         1570
582             2          154          411
583             4         2755            8
584             3           31           18
585             2          242          494
586             3            3           32
587             2          339          210
588             2          269          361
589             4         2469           54
590             0            9         3320
591             2          398          115
592             1         2397         1160
593             2          156           54
594             4         3148           21
595             3           35           44
596             0           80         1342
597             2          172          204
598             3           19           15
599             0           25         1099
600             1         1961         4672
601             0           61         1973
602             1         1307          465
603             1         1698         2406
604             3            8           19
605             3           22           40
606             1          882         1925
607             4         1989           56
608             2          328           99
609             2          286          393
610             4         2100           21
611             1         1454         1265
612             3           19           19
613             2          330          305
614             4         1106           24
615             3           12           14
616             1         2348         2619
617             3           41           68
618             2          152          210
619             1         2102         1301
620             2          469          333
621             3            7           29
622             1         2444         2401
623             1         3655         2866
624             3            7           69
625             2          291          113
626             3           10           43
627             3           24           21
628             2          277           73
629             1         1064         1125
630             3           42           17
631             2          779          127
632             2          226          174
633             2          377          548
634             1         1949         2050
635             1         3219         2525
636             4         3479           58
637             3           20           24
638             2          384          190
639             3           41           52
640             2          139          165
641             3           36            7
642             1         4418         2028
643             2           66          597
644             3           65           14
645             2          195          402
646             1         1252          562
647             2          160           99
648             1         1555         2973
649             0           51         7643
650             3           21           45
651             2          361          326
652             2          304          570
653             3           42           16
654             3           29            7
655             1          879         3894
656             2          482          394
657             1         1419         1205
658             2           76          227
659             3           22           24
660             1         3304         1227
661             4          765           27
662             2           79          261
663             2          360          310
664             2          299          188
665             1         3692         3315
666             2          284          550
667             1         3387         1957
668             0           35         2573
669             2          248          224
670             3            6           35
671             0           27          822
672             1         7258         2361
673             4         2339           15
674             2          289          643
675             3           17           83
676             1          975         1299
677             2          318          221
678             2          218           11
679             2          266          147
680             2          601          224
681             4         1681           68
682             2          340          194
683             2           70          465
684             4         4452           48
685             2          527          778
686             2           59          258
687             4         2470           21
688             2          622          205
689             4         1056           60
690             2          188          558
691             4         1366           11
692             0           38         2402
693             2          103          154
694             0           23         4178
695             0           36          989
696             0           38          596
697             1         1364          714
698             2          372          288
699             3           22           27
700             4         3134           14
701             0           86         2712
702             0           29         1450
703             2          126          614
704             2          164          429
705             4         2363           27
706             1         1291         1190
707             1         3530         3789
708             2          241          141
709             2          462          101
710             0           34         1275
711             2          339           96
712             1         1408         3492
713             1         2535         3520
714             2          314          214
715             2          185          352
716             4         3579           31
717             4         2091           30
718             0           58         1778
719             2          321           90
720             3           17           24
721             2          287          380
722             3           18           29
723             2          211          506
724             2          955          367
725             3           60           25
726             2           41          490
727             2          509          783
728             3           27            7
729             2          260          327
730             3           36            4
731             2          133          164
732             2          183          316
733             2          206          278
734             0           65          610
735             2           86          235
736             3           33           65
737             2          223          361
738             2          313          261
739             2          264          311
740             2          590          138
741             3           12           50
742             3           93           25
743             2          393          216
744             0           17          864
745             1          574          333
746             1         2095         1542
747             2           96          355
748             1         1629         1716
749             1          820         3614
750             1         2176          491
751             0           26         1941
752             3           82           14
753             2          263          366
754             2          584          206
755             1         1340         2027
756             1         1579         1833
757             3           40           10
758             4         2919           19
759             3           47           35
760             3           18           13
761             4         2312           22
762             3           78           50
763             2          276          264
764             1         1967         1511
765             3           41           11
766             2          323          110
767             0           52         2746
768             1         4173         2761
769             1         1996         1099
770             1         3054         2964
771             1         3609         1162
772             2          417          429
773             2          322          235
774             0           37         5105
775             0           33         1437
776             2          465          139
777             2          183          175
778             3           36           41
779             2          132          202
780             2          322          370
781             4         4324           19
782             1          794         2566
783             1         2262          843
784             0           10         1814
785             2          640          460
786             4         3847           25
787             1         1425         1247
788             1         2287          998
789             4         1589           42
790             3           17           22
791             2          628          366
792             1         2954         1840
793             2          247          390
794             4         1940           52
795             0           16         2000
796             3           66           47
797             2           95          236
798             2          381           86
799             1         2279          770
800             2          132          314
801             2          333          374
802             2          568          799
803             1         2659         4025
804             2          129          191
805             1         1082          696
806             2          376          154
807             2           83          127
808             3           33           63
809             3           11           52
810             4         3403           27
811             4         1000           11
812             1         1457         6244
813             1         1293         4506
814             2          284          280
815             2          409          173
816             3           29           39
817             3           13            9
818             2          185          236
819             2          284          443
820             4         2541           42
821             4          447           41
822             2          432          523
823             2          299          343
824             2          498          301
825             2          152          123
826             0           21         1430
827             1         1571         1397
828             4         3922           39
829             0           20         3411
830             1         2690         2936
831             2          632          201
832             1         3137         2313
833             1         1740         1171
834             2          241          111
835             2          334          726
836             3           27           45
837             1         1112         1324
838             1         1492         5916
839             4         2805           27
840             0           37          326
841             2          245          240
842             1         1716         1751
843             1         1096         1846
844             2          374          305
845             1          960         2575
846             1         3307         2526
847             3           22           24
848             0           46         5030
849             2          192          232
850             4         1429           11
851             2          644          118
852             2          277          535
853             2          334          132
854             2          291          470
855             2          141          272
856             0           32         1680
857             1         1531         1010
858             3           26           39
859             1         1111         1438
860             1         1549         3820
861             4         1149           35
862             2          415          309
863             1         3160         1005
864             4          930           30
865             3           18           87
866             3           47           11
867             2          301          236
868             1         1090         2425
869             3           51           33
870             3           62           18
871             3            8           36
872             2           50          228
873             4          822           63
874             2          134          334
875             2          276          397
876             2          258          239
877             0           36         1693
878             2          380          296
879             3           18           38
880             3           13           23
881             1          892          764
882             4         2644           26
883             3           27           31
884             2          557          241
885             1         1771         3716
886             1         1233         1208
887             3           66           13
888             3           40            4
889             2          115          134
890             2          214          470
891             2          247          443
892             3           40           26
893             2          148          674
894             3           24           32
895             4         2600           19
896             1         1270         1726
897             2          203           75
898             0            8          914
899             2          383          370
900             0           31         1357
901             2          323          428
902             3           48           34
903             2          151          497
904             2          264          144
905             2          161          432
906             2          295          363
907             3           66           26
908             3            5           19
909             1         3123         1688
910             3           26           20
911             2          174          680
912             4         2132           22
913             3           32           55
914             0           49         1293
915             3           20           55
916             1         1457         2340
917             1         1596         1329
918             3            8           57
919             4         2762           38
920             3           37           42
921             4         2529           33
922             1         1500         1244
923             0           13         2170
924             4         2036           20
925             4         3557           28
926             3           15           23
927             3           13           10
928             2          318          453
929             2          445          285
930             0           27         1437
931             2          213          218
932             1          957         2218
933             1         2355         1017
934             3           35            8
935             4         1236           41
936             0           18         2156
937             3           41            4
938             2          814           74
939             0           42          962
940             2          637          609
941             2          412          478
942             2          226          259
943             1         1402         5771
944             2          386          329
945             2          641          222
946             0           33         1089
947             3           27            6
948             0           30         2151
949             0           93         1919
950             1          962         5643
951             3           14           32
952             1         3432         2289
953             4         2283           19
954             2          233          163
955             4         1483           42
956             2          316          363
957             2          130          493
958             2          240          172
959             2          140          640
960             0           17         1808
961             4         4193           45
962             1         2732         1775
963             1         2007          766
964             4         1317           29
965             1         1916         2701
966             3           14           18
967             4         1384           23
968             2          138          294
969             3           22           24
970             2          159          116
971             2          456          567
972             4         1138           27
973             2          200          402
974             1          900         1353
975             4         1154           21
976             3           60           40
977             2          107           66
978             1          515         3161
979             1         2685         2553
980             0           33          707
981             3            4           34
982             2          297          729
983             3           32           15
984             4          783           45
985             4         4179           19
986             0           30         1582
987             2          328          667
988             1         2738         2353
989             1         2835         2096
990             3           36            8
991             2          705          574
992             4         1275           24
993             2          251          251
994             2          492          132
995             4         1185           40
996             3           62           37
997             3           29           29
998             2          437          196
999             2          250          145
