#gene	sample4	sample5	sample6
C1orf158	554	852	942
PRAMEF12	2579	1994	1786
PRAMEF1	4015	4267	1844
PRAMEF11	1795	825	2140
HNRNPCL1	10631	5846	8461
PRAMEF2	2753	8421	11544
PRAMEF4	4566	3257	4672
PRAMEF10	798	420	460
PRAMEF7	1049	1854	1401
PRAMEF6	3412	4455	4238
PRAMEF27	4401	1723	994
PRAMEF25	12141	12648	8586
HNRNPCL3	32	30	62
HNRNPCL2	1157	749	466
PRAMEF26	2176	3351	1551
HNRNPCL4	771	2655	796
PRAMEF9	12558	10574	9814
PRAMEF18	1676	1080	358
PRAMEF5	912	907	948
PRAMEF8	14595	4998	3754
PRAMEF15	8099	9516	5543
PRAMEF14	4919	2838	5717
PRAMEF19	615	729	1542
PRAMEF17	795	773	1264
PRAMEF20	2355	2361	1236
LRRC38	1948	2249	1870
PDPN	1041	1664	1336
PRDM2	5549	7699	8627
KAZN	1994	2015	3231
TMEM51	2219	1896	1289
FHAD1	1748	1709	1736
EFHD2	224	456	261
CTRC	1325	2013	2103
CELA2A	765	665	272
CELA2B	4983	8112	6625
CASP9	775	4539	2350
DNAJC16	10362	6158	6396
AGMAT	1214	759	818
DDI2	3385	8480	3572
RSC1A1	198	145	140
PLEKHM2	7900	4397	4413
SLC25A34	446	344	414
TMEM82	379	343	337
FBLIM1	1925	1358	606
UQCRHL	4634	3839	2757
SPEN	2181	11091	4157
ZBTB17	4556	3194	1817
C1orf64	2661	1975	2884
HSPB7	2329	2063	1477
CLCNKA	1243	830	2203
CLCNKB	1370	947	1439
FAM131C	1373	1383	3987
EPHA2	6044	9394	8048
ARHGEF19	729	544	1787
RSG1	1658	3257	2070
FBXO42	329	413	379
SZRD1	2414	1808	4688
SPATA21	3232	1757	1225
NECAP2	1520	1309	1047
FAM231B	919	1263	1092
NBPF1	4890	3989	3908
FAM231A	3306	3963	3683
FAM231C	545	1540	2139
CROCC	1238	959	1281
MFAP2	1660	3127	2393
ATP13A2	1555	710	1835
SDHB	3175	3790	2002
PADI2	10	17	41
PADI1	2945	3566	2644
PADI3	295	647	368
PADI4	5520	4260	4693
AC004824.1	573	551	859
PADI6	14444	5730	6442
RCC2	7278	4139	2984
ARHGEF10L	6054	7140	7209
ACTL8	57	67	69
IGSF21	179	153	61
KLHDC7A	443	480	832
PAX7	6533	3901	3249
TAS1R2	1023	1070	2061
RP13-279N23.2	10342	6025	6940
ALDH4A1	824	724	641
IFFO2	604	244	344
UBR4	7500	22129	11114
EMC1	459	418	250
MRTO4	482	397	471
AKR7A3	1027	519	389
AKR7A2	4122	4024	4419
PQLC2	3416	1056	1182
CAPZB	2392	3432	3471
MINOS1	4071	1164	2180
MINOS1-NBL1	738	884	832
NBL1	254	225	193
HTR6	198	389	232
TMCO4	1561	949	1114
RNF186	1316	1570	1996
OTUD3	845	433	617
PLA2G2E	951	424	1521
PLA2G2A	947	905	954
PLA2G5	1248	684	1370
PLA2G2D	1533	1907	3654
PLA2G2F	5855	5659	7336
PLA2G2C	1106	1454	922
UBXN10	2	6	10
VWA5B1	9188	5368	10683
CAMK2N1	794	373	1196
MUL1	769	1668	1456
FAM43B	2540	1627	2828
CDA	1086	1892	1095
PINK1	1735	1603	405
DDOST	635	602	318
KIF17	2328	1654	989
SH2D5	4424	3396	3608
HP1BP3	1984	2070	4784
EIF4G3	2563	3605	2912
ECE1	47	33	101
NBPF3	825	1939	1112
ALPL	1313	1729	1616
RAP1GAP	1863	1491	2120
USP48	560	1370	3312
LDLRAD2	1023	1017	1388
HSPG2	1027	1267	1897
CELA3B	17027	17349	20893
CELA3A	18	18	14
CDC42	113	58	86
WNT4	1002	1907	1156
ZBTB40	9194	11416	7000
EPHA8	291	179	232
C1QA	8	15	11
C1QC	1653	1698	1160
C1QB	4625	2432	1284
EPHB2	10657	12494	19230
LACTBL1	917	746	843
C1orf234	2381	1726	2428
KDM1A	6023	6395	5254
LUZP1	5891	2893	3656
HTR1D	7447	9737	3611
HNRNPR	3064	2702	3070
ZNF436	200	1204	492
TCEA3	10068	7310	5556
ASAP3	7341	6212	4275
E2F2	197	36	53
ID3	3659	6169	3972
MDS2	197	274	183
RPL11	2254	2848	4594
TCEB3	1183	627	1024
PITHD1	9460	5296	10125
LYPLA2	2415	2248	1884
GALE	3350	3594	1655
HMGCL	3376	1761	4386
FUCA1	441	104	344
CNR2	1009	423	824
PNRC2	597	249	426
SRSF10	65	79	54
MYOM3	117	269	367
IL22RA1	498	565	285
IFNLR1	429	1260	1517
GRHL3	789	1411	1028
STPG1	1210	2124	1272
NIPAL3	17472	22415	30708
RCAN3	3428	2435	3446
NCMAP	2606	1862	1817
SRRM1	980	734	1146
CLIC4	5741	9010	16044
RUNX3	761	556	147
SYF2	328	501	441
RSRP1	5852	6630	5589
RHD	3829	2422	5226
TMEM50A	206	195	183
RHCE	516	888	424
TMEM57	5966	9938	9196
LDLRAP1	290	252	314
MAN1C1	414	486	375
SEPN1	7828	4685	1769
RP1-317E23.6	9420	5043	5345
MTFR1L	7224	8014	2350
AUNIP	1408	1209	1563
PAQR7	5704	5848	3857
STMN1	1705	1641	3292
PAFAH2	287	394	461
EXTL1	4292	2860	2154
SLC30A2	2331	827	2262
TRIM63	964	1466	569
PDIK1L	8443	5022	6654
FAM110D	1004	2314	2999
RP11-96L14.8	17	28	9
RP11-96L14.7	4425	2892	3372
ZNF593	3678	5690	2128
CNKSR1	8110	3717	5372
CATSPER4	1241	902	1580
CEP85	670	356	597
SH3BGRL3	2086	1842	2685
UBXN11	2853	986	2409
CD52	2114	1147	1008
AIM1L	7800	5930	4587
ZNF683	6258	3277	4457
LIN28A	2325	1447	1770
DHDDS	34931	14532	16266
HMGN2	446	760	841
RPS6KA1	4743	1646	2193
ARID1A	3183	2000	1583
PIGV	5855	9579	6254
ZDHHC18	624	2026	883
SFN	1127	967	1259
GPN2	5	9	7
GPATCH3	6924	2226	4118
NUDC	4276	3149	2818
NR0B2	1990	941	2136
KDF1	4147	5656	3702
TRNP1	9380	12535	16177
FAM46B	4177	7742	9248
AL137860.1	4276	3317	4856
SLC9A1	1282	2466	1647
WDTC1	600	1706	758
TMEM222	211	118	293
SYTL1	1262	571	1063
MAP3K6	987	1121	467
FCN3	2720	1798	1485
CD164L2	198	65	194
GPR3	1132	3125	7882
WASF2	14249	7140	12032
AHDC1	11015	8939	8523
FGR	553	632	1030
IFI6	924	898	861
FAM76A	677	504	492
STX12	5331	6315	3741
PPP1R8	1795	1885	3564
AL109927.1	203	289	435
THEMIS2	2608	1617	4096
RPA2	301	207	299
SMPDL3B	3447	3953	5043
XKR8	3605	1657	2448
EYA3	3983	8874	8181
PTAFR	1846	5776	8297
DNAJC8	5027	3971	2154
ATPIF1	2287	1980	4241
SESN2	1368	2702	1432
MED18	3190	3594	10659
PHACTR4	4	3	3
RCC1	2709	1529	1746
TRNAU1AP	885	743	1663
TAF12	2339	8168	6090
RAB42	87	61	126
GMEB1	532	622	704
YTHDF2	628	690	1161
OPRD1	2948	1610	1312
EPB41	1303	873	966
TMEM200B	2573	2580	5785
SRSF4	3266	4801	2090
MECR	3656	5139	3028
PTPRU	3650	6192	6656
MATN1	2190	3967	1430
LAPTM5	2442	3245	2380
SDC3	587	1016	1031
PUM1	6679	5450	10911
NKAIN1	241	741	442
SNRNP40	6593	7957	3404
ZCCHC17	12531	3596	4271
FABP3	2086	1225	2239
SERINC2	2573	3055	1307
TINAGL1	5870	17071	11458
HCRTR1	982	789	2723
PEF1	3491	4842	6050
COL16A1	693	647	1474
ADGRB2	2058	1558	3112
SPOCD1	2731	1187	3435
PTP4A2	507	2903	2147
KHDRBS1	507	453	825
TMEM39B	1084	636	854
KPNA6	1863	1007	1368
TXLNA	2759	5222	4427
CCDC28B	1681	935	1941
IQCC	1129	1007	1278
DCDC2B	3222	6823	2469
TMEM234	5279	2814	3303
EIF3I	286	420	220
FAM167B	1064	3243	1475
LCK	1134	922	1160
HDAC1	74	116	151
MARCKSL1	2381	7426	3277
TSSK3	2542	1569	2467
FAM229A	823	789	1335
BSDC1	94	69	122
RP1-27O5.3	2336	2227	1924
ZBTB8B	277	484	377
ZBTB8A	2517	764	3122
ZBTB8OS	916	1487	1096
RBBP4	6802	5685	4963
SYNC	496	364	504
KIAA1522	3644	2135	6913
YARS	359	113	179
S100PBP	799	1285	2564
FNDC5	1217	5567	1956
HPCA	879	935	2034
TMEM54	6242	5547	14412
RNF19B	1961	1146	1981
AK2	1020	2458	2806
AZIN2	1076	1328	1877
TRIM62	21772	2707	13152
ZNF362	3181	1711	3354
A3GALT2	2265	2295	4768
PHC2	4942	10330	11716
ZSCAN20	1091	3126	3324
CSMD2	6559	3737	2952
HMGB4	2072	3081	1287
C1orf94	7128	5118	8433
SMIM12	256	854	520
GJB5	6879	3142	3394
GJB4	7115	11476	5399
GJB3	6799	5662	7412
GJA4	1019	1199	1249
DLGAP3	5271	5402	7809
RP11-244H3.4	603	682	762
TMEM35B	6174	4984	6169
ZMYM6	231	134	45
ZMYM1	1106	630	588
SFPQ	419	259	333
ZMYM4	2403	487	1211
KIAA0319L	2551	3120	757
NCDN	232	445	609
TFAP2E	382	155	526
PSMB2	1291	1275	1547
C1orf216	1598	1782	2153
CLSPN	6992	16082	8148
AGO4	301	556	1014
AGO1	1842	1503	3360
AGO3	637	1435	1396
TEKT2	1207	2070	1160
ADPRHL2	2230	2175	2086
COL8A2	922	682	1406
TRAPPC3	583	1253	153
MAP7D1	7584	12132	6255
THRAP3	284	258	541
SH3D21	3261	2102	5451
EVA1B	1323	588	789
STK40	1373	4205	2117
LSM10	7531	13970	5999
OSCP1	479	432	288
MRPS15	1604	2602	2480
CSF3R	2487	4744	1720
GRIK3	779	296	290
ZC3H12A	0	0	0
MEAF6	1919	2377	5228
SNIP1	7600	19672	12187
DNALI1	2222	3123	2064
GNL2	6700	5775	16381
RSPO1	723	431	361
C1orf109	1020	2255	2692
CDCA8	2151	4642	4675
EPHA10	8932	34051	8747
MANEAL	1139	1707	502
YRDC	10633	26054	11362
C1orf122	2063	3051	5808
MTF1	5343	4596	2858
INPP5B	2327	1186	1728
SF3A3	6284	3313	3265
FHL3	230	649	227
UTP11	349	364	759
POU3F1	2319	595	2295
RRAGC	6216	11126	8347
MYCBP	8290	17933	5891
RP5-864K19.6	1395	801	1660
GJA9	18	34	15
RHBDL2	2296	1746	2178
AKIRIN1	4300	3887	1785
NDUFS5	4440	6870	7670
MACF1	1376	3155	441
BMP8A	3009	6822	5125
PABPC4	4027	6535	2496
HEYL	2673	4381	5750
NT5C1A	513	189	770
HPCAL4	7256	4426	5783
PPIE	5235	11010	7170
BMP8B	287	409	230
OXCT2	3389	8157	4640
TRIT1	13386	12026	5907
MYCL	2293	9866	4909
MFSD2A	1036	1612	2026
CAP1	2416	7042	8997
PPT1	427	338	928
RLF	4744	3586	6764
TMCO2	295	211	375
ZMPSTE24	3994	7731	7178
COL9A2	316	161	211
SMAP2	4452	4763	5822
ZFP69B	881	1133	2794
ZFP69	4756	1652	2170
EXO5	643	672	488
ZNF684	575	554	916
RIMS3	1933	1818	1283
NFYC	4393	2532	2024
KCNQ4	652	658	1054
CITED4	2442	9323	8404
CTPS1	2252	2658	1544
SLFNL1	5277	4256	8750
SCMH1	1623	1918	1593
FOXO6	1089	1113	710
EDN2	772	593	493
HIVEP3	2668	3361	4044
GUCA2B	5191	13024	11759
GUCA2A	9692	10601	19060
FOXJ3	1664	2183	4153
RIMKLA	32871	16177	21484
ZMYND12	3162	2691	4354
PPCS	3697	3245	4144
CCDC30	765	550	985
PPIH	4665	2960	3045
YBX1	1888	2928	3813
CLDN19	5000	4242	8350
P3H1	1619	806	1131
C1orf50	1204	1674	777
RP5-994D16.12	499	538	987
RP5-994D16.11	879	1467	657
SVBP	525	461	446
ERMAP	3877	3473	1735
ZNF691	2406	2016	1884
SLC2A1	350	476	232
FAM183A	4232	1443	7651
EBNA1BP2	5283	5450	3109
CFAP57	651	921	667
TMEM125	1612	1454	2050
C1orf210	2786	2543	1335
TIE1	1082	1265	1161
MPL	1477	1251	624
CDC20	10722	10300	4424
ELOVL1	43	47	18
MED8	941	957	820
SZT2	8021	4752	5159
HYI	1923	2261	956
PTPRF	3211	1915	2968
KDM4A	251	1657	2196
ST3GAL3	1250	735	1690
ARTN	402	999	770
IPO13	16322	20639	8430
DPH2	51	99	45
ATP6V0B	626	417	987
B4GALT2	1733	975	2259
CCDC24	851	1458	1644
SLC6A9	1197	725	767
KLF17	4501	4598	4545
KLF18	7329	8653	7359
DMAP1	301	119	191
ERI3	1183	737	731
RNF220	5892	5306	8124
TMEM53	3607	2717	1274
C1orf228	4140	10889	8264
KIF2C	17139	15088	15205
RPS8	2476	1839	1266
BEST4	3299	1975	1242
PLK3	1136	838	2271
TCTEX1D4	2377	4550	3781
BTBD19	762	1812	1971
PTCH2	1159	1979	1973
EIF2B3	6558	6040	2549
HECTD3	3249	2143	1264
UROD	3543	10611	6630
ZSWIM5	2207	1290	2686
HPDL	2328	3770	7611
MUTYH	75	107	362
TOE1	181	90	138
TESK2	610	411	312
CCDC163P	1345	726	616
MMACHC	2307	3987	1591
PRDX1	1744	2114	2492
AKR1A1	308	428	330
NASP	4673	1619	3469
CCDC17	2961	662	1319
GPBP1L1	470	411	2773
TMEM69	1227	1140	2984
IPP	3114	1591	1029
MAST2	15624	10649	3879
PIK3R3	190	1111	619
TSPAN1	397	433	80
RP11-322N21.2	2409	3933	3695
POMGNT1	500	906	577
LURAP1	6023	5875	5082
RAD54L	3345	2985	2293
LRRC41	2821	3973	4497
UQCRH	2283	4512	5831
NSUN4	187	285	414
FAAH	1280	1596	1088
DMBX1	1904	763	1257
RP11-49P4.7	794	2356	1673
KNCN	966	896	1897
MKNK1	1112	1942	1257
MOB3C	8160	17839	9811
ATPAF1	315	423	301
TEX38	380	853	738
EFCAB14	3148	2410	5352
CYP4B1	7466	4535	4779
CYP4A11	838	1145	969
CYP4X1	3883	4436	4364
CYP4Z1	2848	4260	1637
CYP4A22	10927	5280	3402
PDZK1IP1	242	176	186
TAL1	7478	5294	1904
STIL	1673	457	779
CMPK1	1051	726	1183
FOXE3	97	15	71
FOXD2	3296	2956	847
TRABD2B	4000	4708	1683
AL356289.1	7	11	13
SLC5A9	1069	1435	929
SPATA6	5773	5828	15923
AGBL4	2246	1998	1384
BEND5	2671	2459	1125
ELAVL4	1872	2774	2685
DMRTA2	29	47	42
FAF1	22	27	29
CDKN2C	7473	7273	9883
C1orf185	1802	1667	1847
RNF11	1386	1308	1378
TTC39A	3417	2672	5460
EPS15	7894	6392	4879
OSBPL9	1009	503	1085
NRDC	399	461	377
RAB3B	2330	276	650
TXNDC12	2149	1602	1707
KTI12	2000	3124	2199
BTF3L4	135	77	134
ZFYVE9	3236	5446	9388
CC2D1B	951	1016	2658
ORC1	322	345	179
PRPF38A	3695	2771	2381
ZCCHC11	302	233	239
GPX7	1637	1449	2027
FAM159A	3454	2272	2595
COA7	1962	2040	1432
ZYG11B	1652	1506	1628
ZYG11A	1839	5635	2474
ECHDC2	8129	3685	6676
SCP2	77	199	71
AL445183.1	2841	4000	2021
PODN	8497	8462	15405
SLC1A7	420	513	136
CPT2	2567	3406	5752
C1orf123	395	600	978
MAGOH	2681	2143	1094
LRP8	2707	3300	4451
DMRTB1	4196	1733	3075
GLIS1	1663	1272	1543
NDC1	216	87	202
YIPF1	420	475	469
DIO1	6733	4009	5873
HSPB11	986	1667	1558
LRRC42	683	1293	794
LDLRAD1	1085	3048	874
TMEM59	704	532	1650
TCEANC2	1182	1062	873
RP11-446E24.4	2630	4076	1902
CDCP2	138	327	186
CYB5RL	1003	283	839
MRPL37	671	781	531
SSBP3	7042	15245	14129
ACOT11	8751	14783	7961
FAM151A	1623	799	985
MROH7	2989	3914	1680
MROH7-TTC4	2292	2831	2105
TTC4	1604	1177	1601
PARS2	2470	1838	790
TTC22	2566	3296	4714
LEXM	1511	1996	3507
DHCR24	84	102	86
TMEM61	570	443	126
BSND	7600	5168	13892
PCSK9	7230	10034	9412
USP24	4716	3862	6811
PLPP3	2041	2164	1957
PRKAA2	1856	1426	862
C1orf168	2541	3164	2965
C8A	3976	3036	2495
C8B	35817	28896	19380
DAB1	11262	11846	11952
OMA1	1344	2601	1718
TACSTD2	4515	7778	5765
MYSM1	407	306	392
JUN	2488	5564	4404
FGGY	8119	6779	6515
HOOK1	2292	3733	2844
CYP2J2	525	485	408
C1orf87	6135	9333	5138
NFIA	7628	17081	27743
TM2D1	6572	5899	3226
PATJ	2081	5138	2414
L1TD1	7040	2742	3606
KANK4	3060	8008	5401
USP1	4	9	20
DOCK7	1246	6413	5957
ANGPTL3	963	1464	1351
ATG4C	1139	2400	2338
FOXD3	1475	1830	1011
ALG6	3468	10114	4864
ITGB3BP	5531	13331	4806
EFCAB7	1090	2108	1421
PGM1	2361	3468	5650
ROR1	859	552	935
UBE2U	4239	7819	2355
CACHD1	2570	1134	2118
RAVER2	4750	5718	1831
JAK1	444	239	225
AK4	2697	4678	2417
DNAJC6	911	872	1086
LEPROT	635	338	982
LEPR	654	792	571
PDE4B	8729	6001	11068
SGIP1	2813	2653	10502
TCTEX1D1	1716	3307	3096
INSL5	3244	3481	4216
WDR78	2741	2339	5026
MIER1	3446	2548	2710
SLC35D1	2663	5599	6983
C1orf141	3310	1790	2834
IL23R	297	213	512
IL12RB2	523	258	559
SERBP1	918	727	1542
GADD45A	2681	2302	4623
GNG12	483	1045	774
DIRAS3	1238	602	595
WLS	6282	3075	6662
RPE65	1681	1636	691
DEPDC1	1035	1061	498
LRRC7	2436	2369	3184
LRRC40	1692	1338	2070
SRSF11	2540	4112	5845
ANKRD13C	22	66	20
HHLA3	6654	5544	3545
AL158839.1	11070	10745	20440
CTH	695	1097	698
PTGER3	2389	2329	1711
ZRANB2	1629	1357	1629
NEGR1	861	3438	3168
LRRIQ3	527	979	1206
FPGT	1278	1107	2553
FPGT-TNNI3K	3889	1340	5111
TNNI3K	605	736	704
LRRC53	12104	5203	4269
ERICH3	1668	5466	2538
CRYZ	445	484	1275
TYW3	3759	4217	8467
LHX8	651	538	305
SLC44A5	4600	2028	3627
ACADM	1142	1811	3663
RABGGTB	1001	610	1206
MSH4	686	1498	782
ASB17	1315	2995	1711
ST6GALNAC3	85	99	109
ST6GALNAC5	572	1302	1290
PIGK	1719	1432	1000
AK5	2167	1643	1733
ZZZ3	3495	1216	4767
USP33	8074	19488	9289
FAM73A	1609	1939	1041
NEXN	1784	430	1147
FUBP1	954	1905	1005
DNAJB4	7860	5490	1491
GIPC2	1571	1070	1184
PTGFR	834	1135	1896
IFI44L	711	4244	4126
IFI44	3856	6831	2953
ADGRL4	3169	3294	2747
ADGRL2	831	790	578
TTLL7	4471	4038	5320
PRKACB	7526	9333	9056
SAMD13	1880	1394	2242
DNASE2B	2099	2265	748
RPF1	6759	4110	9081
GNG5	1003	978	221
CTBS	1033	715	1136
SSX2IP	1728	3342	1773
LPAR3	698	1197	432
MCOLN2	305	1705	2692
WDR63	2465	3499	4425
MCOLN3	829	1447	1028
SYDE2	639	385	244
C1orf52	6817	6196	2915
BCL10	1494	764	1090
DDAH1	5910	9134	3007
CYR61	8906	9434	8724
ZNHIT6	1933	1759	1357
COL24A1	148	135	94
ODF2L	450	795	411
CLCA2	91	206	128
CLCA1	1482	2093	854
CLCA4	807	925	421
SH3GLB1	2604	4276	1398
SEP15	61	32	65
HS2ST1	1089	694	708
RP5-1052I5.2	31055	4906	11738
LMO4	9935	7598	6430
PKN2	1276	677	1417
GTF2B	69	40	79
KYAT3	274	527	225
RBMXL1	2901	3740	4444
GBP3	3257	6345	3307
GBP1	3910	954	1060
GBP2	11121	12332	6229
GBP7	3368	1587	2826
GBP4	1586	1747	2144
GBP5	25	77	74
GBP6	474	1013	832
LRRC8B	6496	7525	5175
LRRC8C	229	186	189
RP11-302M6.4	2100	1779	768
LRRC8D	178	210	153
ZNF326	403	451	498
BARHL2	422	519	715
ZNF644	136	243	228
HFM1	839	2173	1072
CDC7	10205	4394	6733
TGFBR3	307	420	154
BRDT	2813	2440	1744
EPHX4	7140	4035	5861
SETSIP	62	454	217
BTBD8	8050	5974	5442
KIAA1107	2161	4462	704
C1orf146	465	730	499
GLMN	3959	3512	3402
RPAP2	5761	4488	6029
GFI1	7281	8388	6223
EVI5	59	88	43
RPL5	4	7	6
FAM69A	89	92	276
MTF2	1394	1229	1874
TMED5	53	60	93
CCDC18	208	240	155
DR1	3218	5537	6805
FNBP1L	1163	833	868
BCAR3	198	152	310
DNTTIP2	610	530	667
GCLM	4526	4284	6922
ABCA4	1818	4255	4581
ARHGAP29	697	778	582
ABCD3	337	209	584
