#gene	sample1	sample2	sample3	sample7	sample8	sample9
C1orf159	1867	1536	2604	3586	1530	3013
TTLL10	435	206	577	445	393	635
TNFRSF18	1717	1314	442	538	2096	589
TNFRSF4	1408	900	1774	1277	1850	602
SDF4	3052	1702	2667	3769	2788	3099
B3GALT6	2711	2780	3404	2868	4218	6311
FAM132A	1224	1548	3888	2341	3000	3120
UBE2J2	1745	2886	1910	1905	1784	3849
SCNN1D	50	55	35	98	106	28
ACAP3	114	141	209	158	97	119
PUSL1	7218	9159	12133	5174	10247	3203
CPSF3L	754	967	852	1330	692	1076
CPTP	260	248	216	310	321	421
TAS1R3	92	144	122	96	85	184
DVL1	4636	6172	3209	3980	7730	3924
MXRA8	5733	4780	4683	6868	9846	6869
AURKAIP1	6349	2536	9445	5246	3759	3665
CCNL2	2646	1842	1044	3740	4364	2458
MRPL20	808	1103	2137	993	2868	1489
ANKRD65	260	258	257	234	233	323
TMEM88B	2153	1241	1772	5242	3114	1910
VWA1	1550	1579	1334	1116	3731	1498
ATAD3C	268	291	159	284	382	252
ATAD3B	5679	1914	6726	7017	5081	9133
ATAD3A	696	1136	1859	1700	1469	951
TMEM240	335	365	366	190	447	287
SSU72	393	204	572	444	308	530
AL645728.1	8126	2455	7398	10828	12710	6109
FNDC10	104	101	69	254	130	113
MIB2	1076	907	435	705	541	1050
MMP23B	5546	2219	3153	2292	4760	4464
CDK11B	11390	6870	3809	7536	5532	4189
SLC35E2B	9324	8639	11020	17010	25982	27878
CDK11A	1271	870	1330	1587	1058	2178
SLC35E2	1855	1699	2100	4089	2313	4161
NADK	3468	5794	2865	5289	4607	2533
GNB1	29	19	15	7	18	16
CALML6	6424	4165	4256	7147	4207	5479
TMEM52	2936	1647	2080	2834	2508	1520
CFAP74	3	0	2	0	0	2
GABRD	260	438	458	439	510	972
PRKCZ	1051	2977	2259	2183	3962	2445
FAAP20	3572	5002	6473	5860	1855	7028
SKI	4525	3471	2439	3422	3541	3246
MORN1	1108	1112	1537	1596	1112	1043
RER1	6359	2654	2242	2450	2951	2209
PEX10	30	23	39	20	36	66
PLCH2	3073	6868	3836	1528	3078	1883
PANK4	3308	10934	5050	7411	3547	10873
HES5	3993	7493	4207	7988	4787	13940
TNFRSF14	678	934	563	1302	489	1197
FAM213B	2553	2097	2517	5272	5712	3951
MMEL1	935	741	474	1623	1154	2013
TTC34	1178	1218	1550	1594	1992	1035
ACTRT2	2608	2223	3947	4602	2728	1874
PRDM16	676	937	348	997	1126	834
ARHGEF16	4267	2843	7741	4859	3027	10599
MEGF6	1973	1004	2254	2495	2668	2309
TPRG1L	2580	1512	2558	1784	2535	2809
WRAP73	6457	5332	10606	7484	7352	6350
TP73	903	1170	914	580	985	1403
CCDC27	274	494	599	576	872	508
SMIM1	187	284	455	331	367	764
LRRC47	8258	2114	1993	10746	4595	4626
CEP104	294	227	635	518	632	599
DFFB	1957	3183	2174	4799	4147	2264
C1orf174	15627	10871	15343	8995	14428	14991
AJAP1	2666	3037	2640	5231	1611	6848
NPHP4	1267	1403	769	1720	890	1847
KCNAB2	3045	2596	1528	2431	5713	1920
CHD5	2545	2507	1775	2602	3512	1071
RPL22	2375	952	1685	1947	1768	2108
RNF207	5139	1728	3100	2923	4848	1996
ICMT	2141	1771	1939	1793	3148	1650
HES3	599	689	368	1438	2090	686
GPR153	2405	1598	3818	1955	2105	2712
ACOT7	450	247	788	425	414	1158
HES2	558	369	1019	1546	1343	1205
ESPN	3503	5502	7664	1804	3704	4266
TNFRSF25	962	825	672	1564	1034	1693
PLEKHG5	5118	4969	2510	4472	2474	11036
NOL9	56	119	144	260	262	115
TAS1R1	2606	1564	1600	2592	2308	2367
ZBTB48	3325	2868	5409	7170	1811	4755
KLHL21	8023	4828	4627	10576	12790	4253
PHF13	4367	8162	7931	7137	5471	6265
THAP3	4160	2336	1698	2907	3966	3113
DNAJC11	1361	956	1000	899	1360	1096
CAMTA1	3581	1612	1275	2726	2893	2515
VAMP3	4020	2750	3774	3068	3524	2291
PER3	1711	1281	856	1492	2265	1737
UTS2	3534	2030	4825	5636	3990	1748
TNFRSF9	513	1793	1442	1104	330	2783
PARK7	9902	7746	7932	10361	7435	4737
ERRFI1	1100	979	1906	2026	2094	933
SLC45A1	263	299	297	298	537	528
RERE	339	219	98	187	283	146
ENO1	5997	5251	3880	6767	10110	5401
CA6	440	365	915	785	588	794
SLC2A7	122	108	69	173	143	246
SLC2A5	84	153	69	173	169	138
GPR157	3179	3638	2390	4185	3162	2716
H6PD	4853	2222	1309	7061	4100	3677
SPSB1	7677	6832	4742	5972	9472	5696
SLC25A33	4259	4881	6994	8092	7470	9650
TMEM201	1993	2084	5028	3051	1616	4259
PIK3CD	240	204	300	711	352	102
CLSTN1	8251	10983	4814	12177	7757	8582
AL357140.1	1462	3287	3638	1030	4465	1816
CTNNBIP1	12117	3055	9540	15158	18930	7208
LZIC	2555	2180	5115	3514	5405	4117
NMNAT1	1221	1760	2678	2870	1286	1282
RBP7	284	277	135	218	188	174
UBE4B	4559	6271	5650	3470	6891	7461
KIF1B	77	237	95	202	106	87
PGD	456	400	339	1017	825	716
APITD1-CORT	5370	3597	3149	4965	4470	6294
APITD1	703	1026	1594	1132	707	3610
CORT	844	784	886	526	1411	1272
DFFA	183	93	164	195	223	290
PEX14	4761	6117	5291	6656	4036	7279
CASZ1	1496	472	294	1176	1399	1918
C1orf127	198	286	335	515	683	321
TARDBP	517	207	622	300	284	731
RP4-635E18.9	68	120	127	81	30	91
MASP2	2140	5050	2419	2984	1589	3020
SRM	1429	3000	3333	4217	5894	2290
EXOSC10	2856	2875	2125	2464	4554	3042
MTOR	4983	5339	5280	3357	7549	7681
ANGPTL7	113	82	174	195	138	275
UBIAD1	461	207	299	344	683	313
DISP3	1604	1172	726	1030	2228	1969
FBXO2	6041	11458	4992	4816	8596	4894
FBXO44	1318	2976	1824	2143	2867	2248
FBXO6	8520	11791	9557	15085	25596	11445
MAD2L2	2835	4596	3704	6001	2816	3885
DRAXIN	1611	1182	553	519	1594	582
AGTRAP	1757	2702	1504	1919	5357	1909
C1orf167	642	1030	629	1097	617	509
MTHFR	6678	7733	10173	8627	5396	5329
CLCN6	1465	891	1239	1029	1344	1746
NPPA	1467	1134	1364	1457	1621	1582
NPPB	1274	2030	1091	948	1197	2335
KIAA2013	1047	638	448	302	795	1119
PLOD1	5430	2950	4323	3746	3215	3406
MFN2	1137	2649	2670	3063	4818	3664
MIIP	687	2148	2948	2696	3089	2862
TNFRSF8	608	438	1762	2237	2294	1742
TNFRSF1B	2113	3866	4746	6663	3004	4999
VPS13D	2245	3340	3244	1712	1474	3962
DHRS3	328	227	402	459	431	474
AADACL4	2695	2691	2969	5740	2820	2302
AADACL3	520	467	1337	425	1079	633
C1orf158	453	349	168	557	533	424
PRAMEF12	472	157	173	222	389	225
PRAMEF1	616	1308	373	885	1290	769
PRAMEF11	1212	1218	1897	1665	1452	621
HNRNPCL1	1975	1511	1160	2617	1309	764
PRAMEF2	4321	2650	6364	1546	2419	7404
PRAMEF4	1411	2959	4453	2768	1055	2009
PRAMEF10	2643	6549	6716	8081	5948	3738
PRAMEF7	816	908	1438	1630	3086	2383
PRAMEF6	1678	2865	5125	2478	2464	5014
PRAMEF27	1942	1836	1330	2292	3213	1891
PRAMEF25	1336	2408	3123	5368	9075	1858
HNRNPCL3	11774	11487	11406	3474	5747	9023
HNRNPCL2	601	1143	1056	540	1559	1299
PRAMEF26	5238	6168	5239	2490	9015	3426
HNRNPCL4	1245	2359	2906	2034	1567	2264
PRAMEF9	1182	956	1367	672	2160	2533
PRAMEF18	357	1108	930	1031	1030	853
PRAMEF5	438	497	414	573	1445	811
PRAMEF8	2210	1676	1488	2144	1575	884
PRAMEF15	297	373	243	382	592	483
PRAMEF14	4126	3735	4980	2961	7713	13784
PRAMEF19	690	1138	616	901	991	934
PRAMEF17	1834	1935	1070	1756	2560	2464
PRAMEF20	1683	3648	3101	1931	3062	2206
LRRC38	1195	613	970	1637	1612	1209
PDPN	2799	3478	2986	2847	2354	4378
PRDM2	2465	1537	1721	1829	1224	957
KAZN	11307	4073	3434	6516	2161	3859
TMEM51	10580	4813	3838	4212	4272	4771
FHAD1	444	296	226	268	562	377
EFHD2	2972	1331	1176	3049	2299	1572
CTRC	2580	3741	1286	4806	2484	2917
CELA2A	8373	3237	7480	7023	7202	6655
CELA2B	2169	5832	2641	5004	2495	4189
CASP9	2357	2316	3757	5035	3517	9630
DNAJC16	2288	1021	355	1931	1236	1620
AGMAT	676	560	605	733	511	837
DDI2	4906	1034	1628	3507	3353	1616
RSC1A1	2823	2023	2898	6422	4491	5466
PLEKHM2	2101	1223	3250	3663	2250	2220
SLC25A34	7581	5820	3603	7954	8557	8855
TMEM82	1526	933	1126	1377	1625	2228
FBLIM1	1279	491	930	1479	986	1143
UQCRHL	589	717	444	414	283	539
SPEN	9728	3283	5156	3893	13660	7161
ZBTB17	241	146	262	154	102	414
C1orf64	1362	445	829	689	1477	981
HSPB7	19	21	13	28	15	15
CLCNKA	11170	6379	5660	7630	6246	11263
CLCNKB	1253	1918	710	4051	3070	3006
FAM131C	6812	11329	7786	14776	4609	18926
EPHA2	1086	540	824	252	820	695
ARHGEF19	241	167	268	310	318	174
RSG1	12996	12529	4216	7024	13452	3805
FBXO42	706	1488	480	1332	1547	2066
SZRD1	24	30	27	20	36	31
SPATA21	1281	1833	990	2365	1201	2001
NECAP2	3056	1667	3955	2927	3085	2240
FAM231B	9234	7544	9544	9719	14201	18253
NBPF1	4702	4757	2343	4485	16596	4560
FAM231A	4783	3041	1896	2455	5123	4678
FAM231C	1588	1080	1699	802	1818	1916
CROCC	1279	1397	617	1500	1815	1301
MFAP2	1902	1126	2796	2043	4290	1476
ATP13A2	324	1459	769	850	1137	865
SDHB	824	436	789	439	389	337
PADI2	1626	2453	2795	1623	2932	1173
PADI1	135	113	117	202	321	114
PADI3	2383	4677	1870	6359	4943	4226
PADI4	6282	2836	3480	4312	6017	4915
AC004824.1	147	115	193	259	256	245
PADI6	1770	2788	2570	1132	3359	3386
RCC2	2026	4051	3025	4396	2582	3999
ARHGEF10L	578	459	753	1091	720	732
ACTL8	2878	2208	1474	2882	2763	1600
IGSF21	193	392	432	334	287	248
KLHDC7A	544	1133	1489	990	1748	956
PAX7	1848	431	1994	2284	1768	1656
TAS1R2	536	1069	1378	1016	1934	1389
RP13-279N23.2	1983	387	1349	925	873	1261
ALDH4A1	1808	1630	2346	1173	2936	2838
IFFO2	1919	1332	1632	7711	3689	1419
UBR4	4519	1776	3259	4764	4103	3007
EMC1	384	460	273	578	278	471
MRTO4	1353	570	2203	1129	3029	1124
AKR7A3	151	262	152	354	252	437
AKR7A2	410	186	110	364	239	338
PQLC2	14722	13170	2754	7642	11418	5604
CAPZB	8963	5860	6511	4581	3168	7189
MINOS1	1655	814	2171	935	1386	1872
MINOS1-NBL1	210	556	237	227	268	398
NBL1	1282	450	1082	1457	986	1695
HTR6	222	199	225	259	270	248
TMCO4	2061	3815	3962	2229	6328	3384
RNF186	1697	3556	6581	4619	4372	4040
OTUD3	2138	1620	2180	6713	5807	1886
PLA2G2E	692	442	905	583	299	510
PLA2G2A	1481	1396	1680	961	1853	1771
PLA2G5	600	790	392	308	680	435
PLA2G2D	14480	17655	6650	14031	15716	19339
PLA2G2F	785	1031	475	720	1530	895
PLA2G2C	823	1029	702	558	2201	701
UBXN10	521	432	404	429	688	430
VWA5B1	718	837	1032	660	946	1361
CAMK2N1	4368	3741	4563	8797	13109	6047
MUL1	2680	4370	2156	3936	5417	4166
FAM43B	1945	2331	3436	3468	3562	4697
CDA	520	1132	930	646	1047	834
PINK1	3795	2194	3741	3819	1930	4532
DDOST	1710	1253	1787	2163	4091	2870
KIF17	8725	13318	7316	6749	13517	4837
SH2D5	259	80	392	274	300	445
HP1BP3	822	631	1046	452	1355	992
EIF4G3	3403	3130	4241	3435	7141	5233
ECE1	526	793	717	967	521	1396
NBPF3	559	346	562	1061	676	597
ALPL	190	405	347	220	375	492
RAP1GAP	4208	5060	6006	3493	2482	3890
USP48	7080	8866	13550	9606	9091	7131
LDLRAD2	1422	3445	5928	6110	9298	8370
HSPG2	8044	10072	4707	22614	14941	15470
CELA3B	1978	4547	2950	3618	4011	1994
CELA3A	2513	3788	2918	3503	2016	901
CDC42	44	52	49	46	52	73
WNT4	2284	997	1906	2007	2315	1948
ZBTB40	993	977	778	775	611	692
EPHA8	288	376	399	222	558	206
C1QA	51	128	75	140	137	76
C1QC	214	178	219	137	344	182
C1QB	992	3252	2244	5404	2868	5563
EPHB2	1451	1341	763	1340	934	568
LACTBL1	2050	5099	2854	6378	5951	5243
C1orf234	1992	2229	2118	3154	3369	2608
KDM1A	7895	5117	3110	3494	2858	5284
LUZP1	2006	1770	1977	1237	1977	3161
HTR1D	2534	1182	2137	1382	3712	2610
HNRNPR	3990	5274	3700	4171	4430	3814
ZNF436	2080	2401	682	2530	2621	1766
TCEA3	743	209	263	566	788	989
ASAP3	2114	2060	4677	1467	5390	3405
E2F2	380	672	868	737	910	639
ID3	2139	1649	3803	1931	1419	1915
MDS2	5102	7854	5001	4598	10281	6366
RPL11	287	293	551	334	330	367
TCEB3	757	1330	1092	789	2125	1422
PITHD1	1384	645	1267	2417	1203	970
LYPLA2	3291	1129	660	2304	1416	1782
GALE	585	655	861	823	989	853
HMGCL	4989	3938	3460	4746	8742	10537
FUCA1	8614	5036	4108	8377	5978	5456
CNR2	7039	7170	3944	5005	3667	3726
PNRC2	516	835	918	362	1399	1069
SRSF10	9755	4863	2806	6101	12477	3784
MYOM3	725	294	836	944	1857	1195
IL22RA1	2308	2314	2365	2703	3749	3070
IFNLR1	4766	2918	3921	4599	5037	5386
GRHL3	240	128	141	228	105	208
STPG1	2788	2623	4648	4226	3808	2279
NIPAL3	2233	5969	1719	1742	5516	3427
RCAN3	2797	12992	4832	6082	7976	7737
NCMAP	1369	1397	1426	2413	1504	1850
SRRM1	2739	1794	4421	4580	2328	2382
CLIC4	5135	2005	3499	1360	5445	2869
RUNX3	1921	2697	3242	4650	2700	4573
SYF2	578	519	699	686	958	810
RSRP1	9476	8332	6545	7162	1009	10687
RHD	692	699	396	732	752	376
TMEM50A	1928	5448	6762	3799	6500	6154
RHCE	4091	2095	2394	6864	8450	3562
TMEM57	1434	1317	1150	2303	2459	2038
LDLRAP1	2801	4298	3128	3609	3840	3530
MAN1C1	2039	3243	4250	5919	8922	6245
SEPN1	103	267	326	329	437	504
RP1-317E23.6	6003	5445	5343	2059	2082	3321
MTFR1L	370	805	485	267	307	472
AUNIP	2631	777	3260	2434	1753	4974
PAQR7	484	1267	390	1166	1470	1278
STMN1	482	778	684	619	1125	905
PAFAH2	95	109	98	84	67	96
EXTL1	542	679	859	919	999	1266
SLC30A2	648	719	703	948	1012	298
TRIM63	626	570	974	931	536	749
PDIK1L	664	1150	795	1228	1142	872
FAM110D	912	1428	1885	1882	2383	1404
RP11-96L14.8	1828	1815	1173	2422	2266	1266
RP11-96L14.7	4124	2818	3010	4415	3898	4094
ZNF593	1716	5596	2603	1848	2367	2748
CNKSR1	9098	13111	7720	5384	7005	6576
CATSPER4	19	5	11	14	15	9
CEP85	702	1547	1490	1628	935	1291
SH3BGRL3	3198	1544	2533	4643	2793	2122
UBXN11	794	512	385	504	975	165
CD52	5494	5036	2963	5212	5553	6442
AIM1L	1180	2181	1937	1934	2012	1266
ZNF683	616	1368	954	1705	1405	1178
LIN28A	3824	5446	8225	14563	4763	3977
DHDDS	7421	7067	2436	6940	12456	7806
HMGN2	450	297	276	223	89	243
RPS6KA1	1558	922	1322	1284	2726	1372
ARID1A	1397	1418	2784	3989	2730	2119
PIGV	615	2143	948	1763	772	752
ZDHHC18	2384	2287	1845	2544	1211	4461
SFN	1589	6482	2451	5725	2182	4238
GPN2	1445	2104	554	1808	2311	1271
GPATCH3	1713	1970	3277	2906	1631	487
NUDC	938	1006	2399	879	2137	1217
NR0B2	909	2283	1876	2017	1677	1812
KDF1	2332	2959	4524	9374	8777	7286
TRNP1	269	152	268	286	167	351
FAM46B	654	1157	1177	519	762	1082
AL137860.1	5040	4082	3572	4297	3798	2028
SLC9A1	773	234	291	600	1274	737
WDTC1	164	431	702	750	567	650
TMEM222	403	1128	826	1038	993	1089
SYTL1	54	92	66	91	147	100
MAP3K6	1198	1033	1102	4599	1671	2031
FCN3	17	53	18	26	33	76
CD164L2	1084	3541	3851	7513	4498	2551
GPR3	3610	4907	2987	1797	2869	3356
WASF2	2583	1534	1270	1945	1402	1862
AHDC1	5120	3351	3469	5090	4216	5301
FGR	1170	1331	1192	2139	2232	3022
IFI6	739	1003	1223	848	438	1272
FAM76A	2957	1900	1952	5416	4942	2692
STX12	1065	378	608	561	1297	487
PPP1R8	314	289	334	871	645	786
AL109927.1	3838	2854	4699	3797	6624	3191
THEMIS2	2694	3020	2201	5217	3727	4740
RPA2	117	126	281	92	148	186
SMPDL3B	3239	1420	859	2102	2176	2505
XKR8	539	1731	1738	2364	1689	834
EYA3	3071	1797	2440	2186	3405	1851
PTAFR	60	37	83	104	164	55
DNAJC8	2213	2359	2337	1620	2566	1228
ATPIF1	41	66	88	102	67	67
SESN2	746	555	1061	928	945	1293
MED18	3390	1369	2425	2755	4437	2135
PHACTR4	4293	2746	6299	4698	4363	6156
RCC1	570	510	851	721	1470	1090
TRNAU1AP	2622	5816	3601	13722	5363	4259
TAF12	774	1868	1202	583	1682	1174
RAB42	352	466	419	621	606	552
GMEB1	3973	4884	3567	4793	6252	3164
YTHDF2	7665	3657	6878	5755	5370	2605
OPRD1	4932	1640	3756	4563	5014	5141
EPB41	2197	1268	1881	1055	1235	1758
TMEM200B	115	212	377	406	199	348
SRSF4	7533	1569	2812	4972	6822	7458
MECR	1501	753	2451	2398	2565	1125
PTPRU	2361	3151	15050	8233	7894	9839
MATN1	481	277	680	952	1117	856
LAPTM5	1027	493	810	1743	1191	1363
SDC3	2103	1579	1683	2243	2424	1907
PUM1	321	327	250	914	1238	527
NKAIN1	772	347	308	443	479	235
SNRNP40	12465	8947	5332	11699	12593	17858
ZCCHC17	3389	2413	1829	4058	1535	4358
FABP3	773	667	676	1183	999	729
SERINC2	189	153	157	106	112	123
TINAGL1	2933	6285	6117	3403	3199	4702
HCRTR1	1331	1749	860	2171	1787	1877
PEF1	577	869	890	1067	1518	812
COL16A1	4199	9777	4782	5879	9888	5881
ADGRB2	3731	1889	1796	1289	3612	1575
SPOCD1	12596	7786	6557	5214	8010	8795
PTP4A2	1243	1882	1591	1591	1824	1732
KHDRBS1	170	127	657	273	306	223
TMEM39B	128	430	228	527	174	503
KPNA6	370	466	382	867	1152	1169
TXLNA	6346	3842	5963	7661	5318	7439
CCDC28B	9035	6651	7091	7317	7776	5811
IQCC	89	130	155	134	221	321
DCDC2B	241	258	303	236	156	350
TMEM234	6106	2749	5632	4752	9899	2574
EIF3I	1227	663	851	741	2035	1298
FAM167B	1416	1676	2840	2406	4177	4107
LCK	79	111	55	46	68	112
HDAC1	13018	5278	8365	4575	13386	12334
MARCKSL1	283	383	330	339	257	588
TSSK3	5066	5407	8189	12185	7947	5619
FAM229A	669	234	2040	383	323	964
BSDC1	501	1454	763	517	317	782
RP1-27O5.3	3545	3298	2566	2441	5537	7837
ZBTB8B	1135	721	1208	746	1422	691
ZBTB8A	4858	2782	2980	3297	5228	6849
ZBTB8OS	814	539	780	1321	946	507
RBBP4	797	722	536	1255	1008	753
SYNC	2176	3174	2177	5901	2288	3757
KIAA1522	4398	4104	7510	8589	4017	11070
YARS	425	303	137	297	366	328
S100PBP	341	639	410	1125	874	498
FNDC5	1140	828	546	1176	420	663
HPCA	16023	9322	9047	16438	11829	11440
TMEM54	61	28	29	62	50	103
RNF19B	3589	551	1285	1743	2019	1829
AK2	2947	2621	1270	1513	3223	1079
AZIN2	185	111	255	216	114	206
TRIM62	1098	201	1835	1293	1714	1609
ZNF362	4439	6756	2393	3702	5581	3239
A3GALT2	860	1408	522	806	871	497
PHC2	302	372	493	605	643	810
ZSCAN20	915	1719	1698	1184	2463	2329
CSMD2	3118	1633	1463	4400	2629	1786
HMGB4	1748	4174	1631	1305	3474	1950
C1orf94	3880	3267	3398	5376	6842	3206
SMIM12	3556	8185	6421	5458	6421	6636
GJB5	2606	4155	2295	2868	1929	3262
GJB4	1205	2094	2028	1731	1989	1230
GJB3	2329	3685	2430	1114	5243	4757
GJA4	1851	2736	2493	2281	4090	2483
DLGAP3	6469	5313	2519	6587	4121	6740
RP11-244H3.4	2490	3435	1437	3859	3880	5037
TMEM35B	1650	1142	829	716	3524	2780
ZMYM6	3356	3693	4185	4655	8857	7907
ZMYM1	5533	5055	1950	6700	10678	5248
SFPQ	2789	2134	1829	2007	4161	2168
ZMYM4	11063	9859	8921	19124	25394	12711
KIAA0319L	589	508	774	979	966	1141
NCDN	2791	1000	3264	4340	5036	3784
TFAP2E	38	66	20	8	83	36
PSMB2	2329	1573	2115	2091	4680	2340
C1orf216	1408	2688	2344	2230	3565	2985
CLSPN	3854	2494	8033	2072	4837	3264
AGO4	1945	4248	3581	7077	3293	4414
AGO1	509	457	548	1156	703	557
AGO3	273	600	434	241	258	276
TEKT2	7713	5035	2948	10073	4587	6751
ADPRHL2	1669	1996	1359	1869	1551	2215
COL8A2	5712	2954	4482	6367	10814	4705
TRAPPC3	416	388	293	1388	400	1045
MAP7D1	250	524	557	216	459	442
THRAP3	1094	1126	901	1877	2456	2108
SH3D21	178	108	95	398	395	634
EVA1B	875	1141	1146	1013	1537	649
STK40	6266	15576	14609	14890	11029	5848
LSM10	1592	4142	4193	2585	5375	2006
OSCP1	3506	3758	3653	1953	5117	8814
MRPS15	2124	1974	954	2220	2435	1540
CSF3R	59	109	65	74	68	49
GRIK3	972	727	1117	1398	977	2188
ZC3H12A	519	289	826	587	705	542
MEAF6	10315	10584	6136	9841	9989	14711
SNIP1	12738	6134	4881	5386	9393	7886
DNALI1	735	1777	903	1278	1299	1547
GNL2	4660	4947	4312	8930	2631	6983
RSPO1	120	87	212	242	118	324
C1orf109	8605	9214	9067	8691	4957	6035
CDCA8	511	393	489	275	927	240
EPHA10	1129	3840	3088	6751	2940	5754
MANEAL	4960	6469	9346	4331	8226	9168
YRDC	7379	2644	4216	3604	4258	5803
C1orf122	150	82	265	438	170	134
MTF1	752	2262	879	647	2631	1438
INPP5B	1635	3190	1665	3858	3883	3163
SF3A3	16655	19738	11392	26229	19984	26381
FHL3	4067	3112	3068	5854	5826	5287
UTP11	146	315	196	305	164	388
POU3F1	210	291	237	589	404	518
RRAGC	423	237	544	1026	779	734
MYCBP	2467	2119	3003	2243	1918	3294
RP5-864K19.6	1716	2953	1495	2417	2112	1793
GJA9	34	66	55	143	176	156
RHBDL2	1168	2772	1209	3569	2428	2288
AKIRIN1	4615	9205	9326	7019	12951	12231
NDUFS5	1892	1439	1402	1287	3558	2373
