#gene	sample1	sample2	sample3
ATAD3C	5922	4713	2376
ATAD3B	834	1625	667
ATAD3A	623	330	295
TMEM240	510	434	187
SSU72	2756	1580	2255
AL645728.1	1871	1556	1880
FNDC10	7518	4547	5251
MIB2	5657	1539	1259
MMP23B	190	264	321
CDK11B	2793	1863	1865
SLC35E2B	2312	2790	1788
CDK11A	788	2654	2222
SLC35E2	314	323	241
NADK	869	474	482
GNB1	710	581	973
CALML6	420	384	173
TMEM52	2869	3283	3727
CFAP74	63	58	50
GABRD	1007	2275	2545
PRKCZ	1443	621	839
FAAP20	698	775	1142
SKI	732	614	441
MORN1	1406	1423	1513
RER1	379	292	638
PEX10	166	306	340
PLCH2	2099	3853	1956
PANK4	353	278	398
HES5	3953	3324	2268
TNFRSF14	976	3123	783
FAM213B	380	278	285
MMEL1	1232	1103	204
TTC34	2014	2640	2280
ACTRT2	7286	2201	1983
PRDM16	1340	987	1889
ARHGEF16	1138	1737	1341
MEGF6	4665	4883	2630
TPRG1L	1159	366	549
WRAP73	5636	6893	5003
TP73	6972	2493	3275
CCDC27	614	1170	679
SMIM1	481	396	559
LRRC47	87	39	98
CEP104	3569	4768	9912
DFFB	524	292	372
C1orf174	7384	6510	3884
AJAP1	1292	480	1233
NPHP4	41	62	47
KCNAB2	1011	2351	1871
CHD5	595	565	925
RPL22	10149	10086	13269
RNF207	3230	2867	3446
ICMT	1555	1485	1231
HES3	21	12	15
GPR153	566	870	695
ACOT7	1286	592	1822
HES2	4115	7530	4777
ESPN	16346	7635	15640
TNFRSF25	576	894	283
PLEKHG5	6076	3467	3240
NOL9	6075	7379	6592
TAS1R1	1416	2598	1035
ZBTB48	1948	1090	880
KLHL21	2652	5339	2490
PHF13	2466	2397	2102
THAP3	1578	2674	2693
DNAJC11	1681	1964	1309
CAMTA1	341	1573	1405
VAMP3	10204	11384	16399
PER3	5376	7151	3089
UTS2	367	231	473
TNFRSF9	794	722	709
PARK7	1675	1530	3093
ERRFI1	799	1557	824
SLC45A1	208	407	320
RERE	3877	2813	2748
ENO1	2548	3391	9648
CA6	2227	1087	2164
SLC2A7	7740	3587	5624
SLC2A5	542	768	1618
GPR157	959	1122	691
H6PD	163	140	162
SPSB1	191	245	211
SLC25A33	2113	1422	750
TMEM201	657	587	1322
PIK3CD	6435	6072	2848
CLSTN1	8833	2329	3051
AL357140.1	2988	3643	3312
CTNNBIP1	1430	2594	2116
LZIC	725	1781	1235
NMNAT1	80	71	63
RBP7	559	1985	2640
UBE4B	1747	3002	2720
KIF1B	56	57	32
PGD	2865	3522	1253
APITD1-CORT	8189	16575	8245
APITD1	553	1032	1444
CORT	4754	1871	3856
DFFA	16	31	18
PEX14	3168	5602	5683
CASZ1	790	1693	865
C1orf127	924	754	669
TARDBP	1811	4759	1283
RP4-635E18.9	349	114	318
MASP2	5784	5632	6114
SRM	1307	2453	2108
EXOSC10	6577	8693	14664
MTOR	6244	2874	8064
ANGPTL7	879	559	778
UBIAD1	262	155	96
DISP3	663	290	469
FBXO2	3257	7157	4431
FBXO44	3904	1645	1540
FBXO6	38	41	20
MAD2L2	5435	3193	5234
DRAXIN	2814	7361	3544
AGTRAP	107	163	249
C1orf167	1736	3462	1029
MTHFR	1428	1677	2266
CLCN6	63	73	110
NPPA	944	1205	3166
NPPB	330	624	286
KIAA2013	1476	3683	2243
PLOD1	1418	1047	1255
MFN2	384	1139	719
MIIP	1700	4943	3476
TNFRSF8	1318	1198	1075
TNFRSF1B	236	647	419
VPS13D	141	79	159
DHRS3	1676	1977	6047
AADACL4	3801	2990	3692
AADACL3	2362	3279	7362
C1orf158	512	394	1255
PRAMEF12	1799	2112	2411
PRAMEF1	2939	792	3242
PRAMEF11	409	892	513
HNRNPCL1	2404	3962	3764
PRAMEF2	8437	10139	6915
PRAMEF4	4584	2727	5460
PRAMEF10	362	454	830
PRAMEF7	1837	1799	1709
PRAMEF6	4012	3105	5465
PRAMEF27	1163	2523	1968
PRAMEF25	17405	4066	8844
HNRNPCL3	35	57	62
HNRNPCL2	566	483	626
PRAMEF26	2174	1548	2470
HNRNPCL4	1654	535	2460
PRAMEF9	10682	5071	6235
PRAMEF18	1051	647	1053
PRAMEF5	1971	1284	1096
PRAMEF8	8464	6763	7429
PRAMEF15	6792	7230	8623
PRAMEF14	4605	2214	2983
PRAMEF19	524	1276	585
PRAMEF17	401	307	361
PRAMEF20	1565	1435	1218
LRRC38	1899	2396	1899
PDPN	1121	673	1060
PRDM2	2971	6929	3069
KAZN	1955	3957	2589
TMEM51	1927	1816	1769
FHAD1	777	1435	1083
EFHD2	164	184	170
CTRC	668	2075	914
CELA2A	614	605	908
CELA2B	13598	13784	8584
CASP9	1396	1171	709
DNAJC16	3323	2543	2341
AGMAT	394	1700	493
DDI2	4799	3298	6384
RSC1A1	117	145	25
PLEKHM2	8489	5505	12915
SLC25A34	443	351	638
TMEM82	405	429	253
FBLIM1	749	575	679
UQCRHL	3360	2669	2187
SPEN	6695	4491	7553
ZBTB17	3686	4885	2078
C1orf64	3796	1374	1543
HSPB7	1193	2095	2448
CLCNKA	1293	1330	562
CLCNKB	795	429	434
FAM131C	1132	2275	2379
EPHA2	5270	10213	7779
ARHGEF19	1257	930	692
RSG1	2842	1567	1760
FBXO42	503	207	407
SZRD1	1614	1840	2424
SPATA21	665	2546	1605
NECAP2	688	629	1355
FAM231B	767	766	813
NBPF1	4819	4142	2025
FAM231A	3928	7803	4158
FAM231C	710	1171	1415
CROCC	784	1079	781
MFAP2	2012	2735	1666
ATP13A2	1925	1857	1903
SDHB	2363	4238	3663
PADI2	27	20	49
PADI1	2406	3030	2895
PADI3	120	243	261
PADI4	1960	2983	2458
AC004824.1	858	344	807
PADI6	5387	4899	13208
RCC2	3791	7701	3283
ARHGEF10L	7684	7988	9149
ACTL8	135	63	184
IGSF21	197	62	104
KLHDC7A	611	898	473
PAX7	4784	2328	3538
TAS1R2	1101	1095	1148
RP13-279N23.2	4468	6307	2909
ALDH4A1	528	1058	331
IFFO2	669	492	547
UBR4	9786	16845	3208
EMC1	350	467	384
MRTO4	534	493	342
AKR7A3	278	1881	1324
AKR7A2	3698	2446	3348
PQLC2	2300	2340	1377
CAPZB	1474	2365	985
MINOS1	1389	2803	1324
MINOS1-NBL1	1090	875	1453
NBL1	214	205	158
HTR6	270	158	176
TMCO4	391	527	636
RNF186	2432	1679	1328
OTUD3	919	1122	436
PLA2G2E	335	551	697
PLA2G2A	354	1158	1114
PLA2G5	860	1361	1813
PLA2G2D	2511	1488	3286
PLA2G2F	4011	7090	5671
PLA2G2C	564	1167	1012
UBXN10	10	11	8
VWA5B1	4633	9892	4638
CAMK2N1	840	1002	559
MUL1	2079	1788	1491
FAM43B	2161	4692	1381
CDA	1569	352	1334
PINK1	1437	606	822
DDOST	162	454	640
KIF17	2157	2310	1213
SH2D5	4679	2389	1410
HP1BP3	2161	1392	3513
EIF4G3	1846	1363	1097
ECE1	23	25	23
NBPF3	748	441	1082
ALPL	1495	1593	607
RAP1GAP	874	2112	917
USP48	2280	662	2490
LDLRAD2	1125	1281	1002
HSPG2	847	681	1121
CELA3B	24059	8893	11708
CELA3A	16	11	16
CDC42	47	116	65
WNT4	1872	873	1211
ZBTB40	5942	2687	6536
EPHA8	157	142	114
C1QA	12	16	21
C1QC	920	1657	1236
C1QB	2268	2307	2802
EPHB2	7189	6697	4616
LACTBL1	424	1030	592
C1orf234	1079	2893	1702
KDM1A	4451	3123	2508
LUZP1	3432	1174	4732
HTR1D	5692	11261	6887
HNRNPR	1560	3595	1150
ZNF436	208	351	408
TCEA3	1523	2603	2312
ASAP3	5678	5319	5376
E2F2	98	61	83
ID3	1981	2775	2409
MDS2	237	95	203
RPL11	6194	2287	1813
TCEB3	1304	467	608
PITHD1	8298	12805	9245
LYPLA2	2359	2493	2172
GALE	2934	2790	2430
HMGCL	1853	3417	3931
FUCA1	211	292	327
CNR2	841	755	793
PNRC2	272	383	506
SRSF10	70	26	32
MYOM3	265	154	95
IL22RA1	340	160	282
IFNLR1	1251	1155	1224
GRHL3	1109	1008	1210
STPG1	1633	1020	877
NIPAL3	5050	8525	9716
RCAN3	2603	6032	2616
NCMAP	2729	3636	1787
SRRM1	1176	1037	977
CLIC4	4658	10699	3653
RUNX3	795	458	662
SYF2	435	440	696
RSRP1	3589	4654	4859
RHD	1339	665	1430
TMEM50A	215	181	168
RHCE	310	137	323
TMEM57	8964	5644	5446
LDLRAP1	103	84	149
MAN1C1	621	955	794
SEPN1	3320	4038	3530
RP1-317E23.6	2288	3398	2385
MTFR1L	4503	2211	5079
AUNIP	943	1881	1017
PAQR7	4292	1567	6149
STMN1	1412	1224	1487
PAFAH2	268	167	370
EXTL1	1568	1320	746
SLC30A2	1399	1321	1850
TRIM63	758	741	698
PDIK1L	4428	3339	4064
FAM110D	1343	1021	2158
RP11-96L14.8	10	13	12
RP11-96L14.7	3517	4337	3164
ZNF593	1663	3264	1841
CNKSR1	3914	6187	2065
CATSPER4	333	924	704
CEP85	261	272	176
SH3BGRL3	1156	911	1095
UBXN11	1052	867	1806
CD52	814	1502	934
AIM1L	5252	9263	4060
ZNF683	4065	3054	2290
LIN28A	1827	1182	2132
DHDDS	5426	8504	18965
HMGN2	362	101	411
RPS6KA1	2696	947	2230
ARID1A	1062	1321	3199
PIGV	7841	6008	5202
ZDHHC18	435	722	883
SFN	823	506	571
GPN2	4	11	4
GPATCH3	4463	2555	5861
NUDC	4152	2700	1876
NR0B2	1602	1166	587
KDF1	4917	5603	6852
TRNP1	5382	11403	8916
FAM46B	3988	5606	4193
AL137860.1	4328	4655	857
SLC9A1	1423	1745	2460
WDTC1	820	426	1132
TMEM222	71	86	155
SYTL1	1159	1386	1333
MAP3K6	972	971	856
FCN3	842	1638	1914
CD164L2	172	143	184
GPR3	4077	2139	4694
WASF2	11182	6572	8078
AHDC1	4931	7738	3923
FGR	1270	954	1099
IFI6	620	990	1693
FAM76A	457	475	729
STX12	4774	4498	3557
PPP1R8	1918	1225	1061
AL109927.1	368	130	138
THEMIS2	3993	1653	2819
RPA2	94	174	152
SMPDL3B	2026	4038	1270
XKR8	2403	1585	1863
EYA3	4568	2610	6341
PTAFR	2248	4079	5262
DNAJC8	4808	4018	5408
ATPIF1	1852	1878	1872
SESN2	980	1444	843
MED18	4594	1590	1843
PHACTR4	1	3	2
RCC1	1803	3003	1341
TRNAU1AP	678	961	1077
TAF12	9566	7048	7143
RAB42	78	82	56
GMEB1	485	423	246
YTHDF2	2815	528	1358
OPRD1	1046	1538	1877
EPB41	1744	940	492
TMEM200B	4203	5262	3598
SRSF4	3575	2551	4013
MECR	2856	3526	3517
PTPRU	2453	3297	4261
MATN1	2199	1804	4426
LAPTM5	1974	2485	2000
SDC3	856	1121	1792
PUM1	4292	3226	4609
NKAIN1	389	151	560
SNRNP40	3349	8508	4310
ZCCHC17	3719	2797	4848
FABP3	2309	1268	1351
SERINC2	1594	2070	731
TINAGL1	3610	7043	8354
HCRTR1	1911	1938	1172
PEF1	2450	1681	3528
COL16A1	780	388	489
ADGRB2	1491	1600	2023
SPOCD1	2491	6013	2262
PTP4A2	1287	1714	1569
KHDRBS1	616	517	705
TMEM39B	539	747	431
KPNA6	1091	689	1345
TXLNA	4631	1223	5054
CCDC28B	1110	626	1351
IQCC	818	899	683
DCDC2B	528	1458	2002
TMEM234	2827	2891	1253
EIF3I	489	276	449
FAM167B	1644	1239	2476
LCK	1307	887	855
HDAC1	63	90	245
MARCKSL1	3608	5012	4250
TSSK3	1957	1111	2508
FAM229A	530	518	423
BSDC1	118	71	75
RP1-27O5.3	1679	918	667
ZBTB8B	191	337	687
ZBTB8A	1296	1331	1912
ZBTB8OS	973	1979	715
RBBP4	7816	7521	4346
SYNC	371	337	224
KIAA1522	4557	3463	4279
YARS	39	178	59
S100PBP	1038	1357	1450
FNDC5	1798	3421	1197
HPCA	786	1037	1112
TMEM54	2833	5070	3822
RNF19B	746	1584	701
AK2	1740	753	1046
AZIN2	2075	1879	595
TRIM62	4631	7547	11867
ZNF362	4028	3080	2674
A3GALT2	2690	1945	2568
PHC2	8153	13902	12912
ZSCAN20	1393	3449	1435
CSMD2	4706	4700	1545
HMGB4	670	1187	1167
C1orf94	3676	3298	5500
SMIM12	113	249	371
GJB5	6948	3339	3083
GJB4	6352	6056	3510
GJB3	6850	7087	4387
GJA4	604	696	411
DLGAP3	2467	3980	3481
RP11-244H3.4	698	753	1282
TMEM35B	3493	2250	2965
ZMYM6	104	76	66
ZMYM1	885	308	1754
SFPQ	340	175	193
ZMYM4	439	1654	1212
KIAA0319L	2996	1197	1018
NCDN	508	446	249
TFAP2E	602	110	243
PSMB2	432	745	370
C1orf216	2249	1731	1794
CLSPN	3762	3059	4034
AGO4	739	703	764
AGO1	2897	1350	545
AGO3	1312	1227	963
TEKT2	1386	1207	1424
ADPRHL2	2663	2086	2072
COL8A2	1036	1545	1161
TRAPPC3	304	1157	209
MAP7D1	3939	4699	5561
THRAP3	420	279	269
SH3D21	2060	2045	1677
EVA1B	311	454	952
STK40	1586	1696	1219
LSM10	4291	5639	4920
OSCP1	645	558	244
MRPS15	1456	2138	2771
CSF3R	2662	4702	4200
GRIK3	417	568	347
ZC3H12A	1	2	1
MEAF6	4045	4442	4050
SNIP1	8907	6806	12411
DNALI1	738	2116	1097
GNL2	9261	12245	11306
RSPO1	545	307	846
C1orf109	1469	844	764
CDCA8	3856	3669	4318
EPHA10	2878	5127	18666
MANEAL	1160	934	952
YRDC	14348	9504	12726
C1orf122	3745	3667	3438
MTF1	1757	6431	2637
INPP5B	954	465	1811
SF3A3	2087	3184	2589
FHL3	380	138	207
UTP11	402	488	293
POU3F1	2905	2077	2483
RRAGC	6905	6999	7271
MYCBP	9706	5184	9177
RP5-864K19.6	1469	1871	1318
GJA9	65	47	49
RHBDL2	906	850	929
AKIRIN1	4095	1748	1956
NDUFS5	9516	4125	4415
MACF1	1271	761	730
BMP8A	3065	9853	4143
PABPC4	3859	7007	1378
HEYL	2558	1415	2934
NT5C1A	170	285	178
HPCAL4	6119	4785	4935
PPIE	7180	8640	2757
BMP8B	374	267	145
OXCT2	6736	4509	5962
TRIT1	2909	10519	4995
MYCL	3646	6387	4284
MFSD2A	790	2324	1440
CAP1	4474	1674	1908
PPT1	350	596	199
RLF	4473	5022	1899
TMCO2	431	194	145
ZMPSTE24	5225	4600	3005
COL9A2	207	141	148
SMAP2	4329	4113	3911
ZFP69B	1959	1956	2694
ZFP69	1488	3593	1346
EXO5	297	310	493
ZNF684	693	786	1131
RIMS3	1239	2402	1309
NFYC	2542	4208	2795
KCNQ4	501	419	415
CITED4	5747	6082	6375
CTPS1	2048	1187	2506
SLFNL1	2526	3886	3691
SCMH1	3588	3762	2239
FOXO6	402	1077	542
EDN2	223	191	195
HIVEP3	3794	3061	3026
GUCA2B	7720	8830	3371
GUCA2A	12041	7991	13082
FOXJ3	1258	1488	767
RIMKLA	10775	18028	13900
ZMYND12	1896	4522	3733
PPCS	5594	4180	2544
CCDC30	1768	644	821
PPIH	1667	5894	1737
YBX1	2206	1895	2426
CLDN19	9261	3994	4656
P3H1	948	1092	991
C1orf50	369	908	705
RP5-994D16.12	958	769	584
RP5-994D16.11	1318	897	565
SVBP	299	443	719
ERMAP	1460	2515	2589
ZNF691	1613	827	683
SLC2A1	385	362	743
FAM183A	4413	2247	2023
EBNA1BP2	2893	5195	4602
CFAP57	335	289	261
TMEM125	937	696	1512
C1orf210	658	3063	2053
TIE1	2111	1975	765
MPL	500	811	641
CDC20	4679	3265	4769
ELOVL1	16	32	18
MED8	588	533	482
SZT2	4941	6195	7724
HYI	1175	580	1188
PTPRF	1448	3490	2389
KDM4A	462	862	566
ST3GAL3	965	415	549
ARTN	1650	561	1054
IPO13	6266	32368	9741
DPH2	47	30	59
ATP6V0B	459	638	1193
B4GALT2	1162	853	1593
CCDC24	1025	2458	503
SLC6A9	1511	1044	1284
KLF17	3104	4439	5548
KLF18	3002	6509	4830
DMAP1	317	158	296
ERI3	511	851	756
RNF220	4936	2477	3284
TMEM53	1950	1490	1608
C1orf228	5959	5877	2479
KIF2C	7820	4740	16226
RPS8	1324	1411	987
BEST4	527	2181	3413
PLK3	995	1983	1791
TCTEX1D4	2676	1463	3817
BTBD19	1515	1726	1370
PTCH2	1262	1403	2018
EIF2B3	7824	4755	4598
HECTD3	721	1500	1424
UROD	7516	3961	2935
ZSWIM5	1515	851	1686
HPDL	7879	3518	2598
MUTYH	192	168	77
TOE1	113	67	85
TESK2	242	381	268
CCDC163P	765	497	983
MMACHC	2077	4953	990
PRDX1	1336	1634	1453
AKR1A1	196	314	228
NASP	2321	3354	4400
CCDC17	1296	1321	329
GPBP1L1	990	794	717
TMEM69	1307	1018	1620
IPP	1939	786	2573
MAST2	3612	3973	4775
PIK3R3	332	386	465
TSPAN1	142	138	384
RP11-322N21.2	2912	1329	954
POMGNT1	654	465	570
LURAP1	2573	5912	2603
RAD54L	921	2559	3654
LRRC41	2667	5845	4824
UQCRH	4303	4075	6741
NSUN4	512	653	576
FAAH	1257	1410	1560
DMBX1	2274	1621	608
RP11-49P4.7	1561	887	2200
KNCN	434	428	419
MKNK1	1084	2526	704
MOB3C	7391	8660	10752
ATPAF1	585	411	497
TEX38	855	836	754
EFCAB14	1686	2331	4722
CYP4B1	3946	3859	4865
CYP4A11	1434	762	1307
CYP4X1	2903	3021	1673
CYP4Z1	2671	1926	3316
CYP4A22	2192	4363	4216
PDZK1IP1	136	306	399
TAL1	3463	2147	2285
STIL	728	599	1222
CMPK1	798	1161	947
FOXE3	31	24	53
FOXD2	2030	2302	1737
TRABD2B	4227	2769	1501
AL356289.1	17	6	10
SLC5A9	2474	1005	806
SPATA6	3153	9645	5949
AGBL4	844	746	804
BEND5	1990	958	1889
ELAVL4	1762	1599	1239
DMRTA2	50	55	23
FAF1	24	14	27
CDKN2C	3380	7941	6187
C1orf185	939	2537	1303
RNF11	826	703	1496
TTC39A	3555	2730	2198
EPS15	8161	8383	3769
OSBPL9	1036	500	820
NRDC	1511	597	503
RAB3B	642	1602	632
TXNDC12	949	856	3434
KTI12	1321	937	1034
BTF3L4	207	123	177
ZFYVE9	4275	7155	4189
CC2D1B	1111	993	1584
ORC1	113	247	212
PRPF38A	2304	1739	1691
ZCCHC11	158	174	212
GPX7	1813	862	724
FAM159A	2884	4083	3009
COA7	1159	1222	470
ZYG11B	1479	735	1057
ZYG11A	2993	1385	2491
ECHDC2	5434	5581	5159
SCP2	221	133	70
AL445183.1	1160	2718	2219
PODN	8073	6932	7305
SLC1A7	224	361	527
CPT2	2114	1529	6308
C1orf123	1183	674	762
MAGOH	1261	953	615
LRP8	3605	2317	2153
DMRTB1	6990	2884	3597
GLIS1	1323	965	580
NDC1	295	100	92
YIPF1	489	265	496
DIO1	4658	8091	4844
HSPB11	851	2080	608
LRRC42	824	1037	856
LDLRAD1	3572	3268	2525
TMEM59	934	406	905
TCEANC2	1137	777	1092
RP11-446E24.4	1389	2890	1835
CDCP2	248	105	48
CYB5RL	780	584	352
MRPL37	745	526	229
SSBP3	7527	8697	4438
ACOT11	5954	6263	13673
FAM151A	1792	3068	1201
MROH7	1300	2127	2918
MROH7-TTC4	639	2236	1467
TTC4	1525	999	1530
PARS2	1551	1009	1502
TTC22	2168	4092	3370
LEXM	1596	834	610
DHCR24	37	37	42
TMEM61	406	303	448
BSND	6011	9366	6284
PCSK9	3567	3474	3001
USP24	3669	2972	4424
PLPP3	848	1569	1026
PRKAA2	1246	2437	1935
C1orf168	2485	2057	1652
C8A	3295	2143	2477
C8B	20437	11545	13711
DAB1	7377	10386	11074
OMA1	2150	1341	1583
TACSTD2	1911	4241	3481
MYSM1	396	207	368
JUN	3065	4106	4999
FGGY	6405	2642	3683
HOOK1	3312	3121	3969
CYP2J2	240	426	279
C1orf87	6160	3811	3217
NFIA	12004	10484	13601
TM2D1	4061	2968	1792
PATJ	3695	1657	2546
L1TD1	4850	2579	4680
KANK4	1945	4098	3174
USP1	21	11	11
DOCK7	4905	2814	3959
ANGPTL3	2741	1470	3341
ATG4C	1851	548	1646
FOXD3	2476	1405	1341
ALG6	5304	3273	1655
ITGB3BP	8271	4997	11263
EFCAB7	1247	1023	805
PGM1	2286	3223	4668
ROR1	543	668	409
UBE2U	3698	2955	3623
CACHD1	1446	531	1240
RAVER2	3075	3587	3303
JAK1	345	265	404
AK4	3923	2171	1124
DNAJC6	713	285	442
LEPROT	278	269	249
LEPR	410	242	645
PDE4B	7486	9633	3782
SGIP1	2491	4086	4990
TCTEX1D1	2878	2147	3141
INSL5	3775	2507	2561
WDR78	1293	2059	2726
MIER1	2332	2436	4469
SLC35D1	3949	6414	3651
C1orf141	3452	1596	1236
IL23R	207	327	197
IL12RB2	197	298	517
SERBP1	1177	1063	1125
GADD45A	3949	4786	3370
GNG12	278	292	729
DIRAS3	291	343	632
WLS	3898	4206	3973
RPE65	1128	1266	642
DEPDC1	553	739	490
LRRC7	4852	4699	1788
LRRC40	673	1228	1506
SRSF11	2558	2889	3052
ANKRD13C	17	62	74
HHLA3	2242	3399	2493
AL158839.1	8487	7974	10503
CTH	505	318	718
PTGER3	1267	1590	962
ZRANB2	404	1750	1225
NEGR1	2920	1549	3858
LRRIQ3	1288	772	1743
FPGT	708	2230	1330
FPGT-TNNI3K	3154	1235	3458
TNNI3K	514	948	422
LRRC53	2079	2125	3411
ERICH3	4079	4248	3166
CRYZ	399	300	619
TYW3	6360	5448	7904
LHX8	126	203	476
SLC44A5	3421	1765	1883
ACADM	1642	1873	2459
RABGGTB	502	1273	799
MSH4	570	438	544
ASB17	1641	1412	3339
ST6GALNAC3	68	90	92
ST6GALNAC5	857	1196	1284
PIGK	705	2250	794
AK5	2056	1334	3033
ZZZ3	1608	1392	1102
USP33	5335	6574	4605
FAM73A	366	1620	1123
NEXN	1278	1332	1588
FUBP1	1687	1590	968
DNAJB4	3377	3786	3376
GIPC2	1300	1918	829
PTGFR	995	1394	1235
IFI44L	1041	2382	2114
IFI44	3362	2639	7438
ADGRL4	2471	1326	3716
ADGRL2	970	1657	667
TTLL7	5374	4109	3922
PRKACB	6181	8484	7195
SAMD13	1593	1398	717
DNASE2B	1420	483	648
RPF1	2753	4143	5685
GNG5	609	866	1048
CTBS	694	1210	1031
SSX2IP	2381	2352	5169
LPAR3	452	688	343
MCOLN2	637	840	1103
WDR63	3772	3956	4897
MCOLN3	548	902	643
SYDE2	437	184	435
C1orf52	4090	2544	5866
BCL10	945	487	577
DDAH1	2162	1333	2044
CYR61	9518	9883	6099
ZNHIT6	1447	1283	2834
COL24A1	60	206	69
ODF2L	430	510	482
CLCA2	148	86	68
CLCA1	1352	468	858
CLCA4	528	490	341
SH3GLB1	2173	3835	1308
SEP15	36	66	51
HS2ST1	801	547	1257
RP5-1052I5.2	16175	10577	3483
LMO4	3688	7211	8084
PKN2	386	589	697
GTF2B	111	80	53
KYAT3	189	168	298
RBMXL1	2534	2575	3391
GBP3	1977	3402	2042
GBP1	1200	1134	1757
GBP2	5923	4185	5032
GBP7	3616	2329	1794
GBP4	1524	3096	1803
GBP5	77	100	30
GBP6	835	509	777
LRRC8B	8454	4768	2157
LRRC8C	204	377	198
RP11-302M6.4	2143	733	1333
LRRC8D	127	161	200
ZNF326	590	571	270
BARHL2	169	409	230
ZNF644	137	195	131
HFM1	1522	1027	733
CDC7	4021	8626	3101
TGFBR3	246	279	100
BRDT	2577	768	1330
EPHX4	4625	7098	10328
SETSIP	220	239	1056
BTBD8	2680	2988	6798
KIAA1107	1307	1397	1366
C1orf146	730	351	286
GLMN	3344	2253	2528
RPAP2	2516	5378	3059
GFI1	2883	5779	1760
EVI5	30	31	99
RPL5	3	1	3
FAM69A	61	145	127
MTF2	1161	1773	1957
TMED5	35	69	136
CCDC18	132	198	226
DR1	6369	3127	2876
FNBP1L	294	513	402
BCAR3	230	64	381
DNTTIP2	1031	586	1379
GCLM	2248	1411	1300
ABCA4	3724	1656	1837
ARHGAP29	919	692	567
ABCD3	233	373	422
F3	2200	1733	1860
SLC44A3	3045	3831	5928
CNN3	2584	1677	2129
ALG14	61	52	19
TMEM56	1521	1367	668
TMEM56-RWDD3	1834	1302	1973
