#gene	sample4	sample5	sample6	sample7	sample8	sample9
onion	838	955	1024	1576	1137	885
orange	567	622	481	708	485	606
oregano	408	726	214	291	404	413
papaya	1360	4118	2541	2455	2303	2433
parsley	1	2	0	1	3	1
parsnip	1231	1933	1475	1540	940	3087
pea	1695	3063	1954	1179	2943	3952
peach	789	1937	1740	1422	851	2936
pear	641	392	438	746	464	624
pepper	438	339	268	250	170	291
persimmon	880	759	967	590	519	1169
pineapple	4135	3401	6020	4472	6449	2311
plantain	1730	2901	2835	3084	3503	1935
plum	3365	1998	3434	4170	994	1004
pomegranate	3662	2651	3437	1217	2030	5359
potato	537	116	255	685	633	820
pumpkin	7350	7524	21329	6346	9200	7152
quince	2342	1859	1696	897	1128	945
radish	1071	730	1083	782	572	536
raisin	504	399	737	755	309	423
raspberry	16740	3176	9138	11611	14613	14096
rhubarb	3526	2357	2253	3662	4357	793
rosemary	2569	3142	3796	4948	2847	2264
rutabaga	4386	1496	4313	4855	2419	2786
sage	850	599	1273	611	655	1044
scallion	1405	3475	2033	1897	3572	3456
spinach	1310	593	931	1049	1034	649
strawberry	8	5	4	5	5	6
tamarind	2271	2446	2745	3793	3795	3528
tangerine	559	249	418	834	323	226
thyme	998	273	712	714	428	655
tomato	2507	2839	6165	3941	3321	3156
turnip	836	509	756	491	435	828
wasabi	1067	1124	872	1032	504	1466
watercress	636	2506	1920	2266	1104	871
watermelon	12319	15257	21244	15370	13546	15495
yam	1006	1092	725	739	579	841
zucchini	2839	3612	1342	3511	2507	1229
OR4F5	7293	7567	7694	7651	6197	7769
FO538757.2	9	24	14	9	8	13
FO538757.1	1105	604	1310	1018	641	612
OR4F29	6176	5727	2817	2988	3042	4863
OR4F16	4357	6474	8564	8578	12583	16217
SAMD11	4372	6825	3476	4137	4501	2499
NOC2L	2465	3005	1880	1387	2679	2166
KLHL17	1923	1657	2833	1467	2299	2188
PLEKHN1	1222	1626	1744	1108	1280	615
PERM1	277	283	769	642	261	646
HES4	2467	5627	1704	2386	2265	2689
ISG15	2398	2419	2049	2939	2110	1887
AGRN	3	21	8	12	8	8
RNF223	222	251	338	52	173	109
C1orf159	432	771	663	739	1420	452
TTLL10	1527	544	682	447	2162	954
TNFRSF18	54	33	27	33	33	7
TNFRSF4	1284	1755	1230	1000	1371	549
SDF4	2033	2006	3497	1955	3908	1576
B3GALT6	17963	6879	8798	6619	6863	10429
FAM132A	9437	8099	12037	16666	15874	14433
UBE2J2	7794	1206	4201	6130	3339	5537
SCNN1D	783	1644	1155	1000	1579	2847
ACAP3	5766	23900	11004	11231	4843	11734
PUSL1	685	2132	2945	1281	1175	2131
CPSF3L	5211	3652	2402	1739	2059	4010
CPTP	2296	1493	1885	1573	2706	1953
TAS1R3	5683	918	6424	2937	4068	8384
DVL1	3193	2770	7266	2096	1283	1933
MXRA8	3682	3506	3061	3334	7201	3140
AURKAIP1	272	512	594	335	538	705
CCNL2	2645	1374	1136	1452	4677	867
MRPL20	79	181	98	108	63	56
ANKRD65	677	403	564	896	651	1309
TMEM88B	1940	1630	3652	2254	4709	1833
VWA1	20	38	22	9	35	27
ATAD3C	11254	14767	11719	7106	7444	5852
ATAD3B	1994	1708	2675	1416	1797	2533
ATAD3A	809	843	478	422	541	714
TMEM240	425	743	498	640	791	930
SSU72	3628	2076	2765	1900	4908	2247
AL645728.1	1998	1240	1594	2894	2615	1039
FNDC10	5425	4181	6690	5603	3723	9847
MIB2	4341	3879	2553	3285	5400	4541
MMP23B	138	184	282	262	419	361
CDK11B	1849	1866	2611	1942	1125	1728
SLC35E2B	1029	1831	1423	1837	2234	1935
CDK11A	2981	2769	4367	3194	3575	2499
SLC35E2	889	343	378	204	465	540
NADK	558	855	817	760	413	795
GNB1	369	871	1265	879	1050	2752
CALML6	988	749	963	268	821	341
TMEM52	4368	5772	3426	3813	3495	3472
CFAP74	87	91	53	91	64	76
GABRD	2485	1854	1595	952	1287	3008
PRKCZ	1352	2370	1778	1734	1695	1716
FAAP20	859	1302	519	534	1747	575
SKI	516	443	684	706	471	369
MORN1	1853	1071	2622	2209	1371	1010
RER1	1387	990	1302	501	1310	1080
PEX10	369	241	467	725	229	658
PLCH2	3732	5397	5493	5034	6247	4862
PANK4	518	718	483	413	568	600
HES5	4014	7828	5541	2875	3920	3798
TNFRSF14	4834	766	2710	2374	1715	2151
FAM213B	610	758	407	827	211	371
MMEL1	1157	1395	680	1609	2131	2640
TTC34	4230	2168	3319	1456	6030	5007
ACTRT2	4071	4843	3940	7320	6065	5782
PRDM16	2776	1741	3247	2156	2032	1803
ARHGEF16	1657	1503	1900	2414	1308	1469
MEGF6	3385	8329	6396	5116	5615	3460
TPRG1L	1323	1596	1500	732	1742	988
WRAP73	6591	7021	6784	6268	4199	4114
TP73	4206	4458	4853	8509	4794	5561
CCDC27	431	367	758	1153	554	866
SMIM1	336	687	561	364	753	719
LRRC47	105	261	66	130	77	167
CEP104	4206	3333	4615	4226	10220	8362
DFFB	465	281	453	320	370	561
C1orf174	9842	16345	8746	7271	15428	7287
AJAP1	2137	1643	2490	1009	681	1096
NPHP4	98	118	98	45	88	82
KCNAB2	1780	1371	2199	4087	2403	3099
CHD5	1281	787	407	1394	924	798
RPL22	19178	15294	13837	16309	17034	14280
RNF207	1624	4825	6347	5851	4583	4501
ICMT	1283	1144	2164	1262	935	1151
HES3	27	17	5	15	23	16
GPR153	790	414	934	1070	1370	548
ACOT7	979	845	2689	1769	467	1674
HES2	4533	3693	3555	3842	4144	14138
ESPN	14363	12818	17023	9536	7162	6833
TNFRSF25	1536	435	658	347	450	563
PLEKHG5	4338	5392	7674	2296	6532	1888
NOL9	13404	5798	5953	7256	9582	8351
TAS1R1	1208	1989	2188	676	1303	1670
ZBTB48	3181	1476	2245	3024	3364	2697
KLHL21	8956	5533	8542	8100	5161	4857
PHF13	1729	887	3816	3190	1655	3330
THAP3	2019	2921	3646	4352	5548	6250
DNAJC11	1732	794	1391	1104	1940	2241
CAMTA1	1170	3659	2662	1953	2292	775
VAMP3	18391	12449	12806	20882	16027	7771
PER3	5808	6150	10286	8617	8389	6951
UTS2	213	479	194	367	150	139
TNFRSF9	1733	807	944	1923	1325	804
PARK7	2624	2822	3985	4408	2572	3137
ERRFI1	674	944	1150	757	711	903
SLC45A1	535	480	347	443	709	302
RERE	4275	4288	7880	9613	5329	5249
ENO1	8752	3721	5611	6083	9718	5540
CA6	3804	2846	1733	1564	2139	2148
SLC2A7	3731	4160	5477	7380	5608	8843
SLC2A5	970	973	945	1816	1063	859
GPR157	1604	810	1432	1748	554	1553
H6PD	230	136	261	298	326	252
SPSB1	221	379	222	315	560	129
SLC25A33	1382	755	1484	1876	2751	1877
TMEM201	1374	1660	2025	435	1037	1611
PIK3CD	4778	3820	2711	3739	4324	4521
CLSTN1	8819	4943	4423	5366	7189	2719
AL357140.1	4151	4175	2111	3827	3884	737
CTNNBIP1	2564	3991	2563	3434	3922	4006
LZIC	2853	2726	1804	1820	1628	3121
NMNAT1	95	64	43	115	120	243
RBP7	2340	2195	3784	930	1717	3765
UBE4B	3986	3387	3249	4876	3852	2633
KIF1B	33	54	149	175	52	159
PGD	3156	3244	1581	1900	4825	3607
APITD1-CORT	16947	15634	12478	7374	9368	10839
APITD1	1589	1429	1444	723	1066	1269
CORT	4371	3828	2397	5872	5599	2689
DFFA	22	45	15	36	34	13
PEX14	4570	4195	4670	5994	4903	3750
CASZ1	478	1504	948	937	1137	1454
C1orf127	1019	754	1249	766	1584	2179
TARDBP	3046	5049	2896	873	1491	2996
RP4-635E18.9	579	294	301	645	359	318
MASP2	6527	6433	5480	5531	7195	4801
SRM	1939	2129	1823	2433	2002	3409
EXOSC10	10504	11125	10309	22076	11947	10151
MTOR	7372	4349	4483	5003	6632	5318
ANGPTL7	791	1400	800	1875	1547	936
UBIAD1	336	187	171	429	575	296
DISP3	762	1141	719	839	1153	383
FBXO2	3492	4578	10276	5423	9823	4052
FBXO44	3265	6971	5784	4634	2686	5258
FBXO6	37	61	59	37	42	29
MAD2L2	10066	4462	6096	5587	5083	7515
DRAXIN	2991	3959	3989	5836	2371	4216
AGTRAP	364	164	390	345	213	215
C1orf167	1703	632	2474	1484	1945	1401
MTHFR	1162	1805	1902	462	1566	2967
CLCN6	109	104	89	91	87	119
NPPA	2888	2570	1746	2703	2274	1920
NPPB	846	352	715	190	575	780
KIAA2013	1705	2109	2716	4536	1375	1657
PLOD1	3387	2230	1381	2900	875	5106
MFN2	872	843	192	543	588	1386
MIIP	2831	4012	3247	3748	6410	4966
TNFRSF8	3085	1647	659	1248	2149	1441
TNFRSF1B	802	1301	450	320	496	805
VPS13D	165	175	69	191	164	138
DHRS3	8167	3086	5464	6731	7784	2886
AADACL4	4818	2512	3674	2842	3851	3994
AADACL3	4184	4146	3591	4695	2787	4445
C1orf158	554	852	942	1827	1289	1624
PRAMEF12	2579	1994	1786	2585	3950	2134
PRAMEF1	4015	4267	1844	4735	6024	5613
PRAMEF11	1795	825	2140	801	987	1861
HNRNPCL1	10631	5846	8461	4056	7520	4061
PRAMEF2	2753	8421	11544	5359	7928	16604
PRAMEF4	4566	3257	4672	2286	4093	6797
PRAMEF10	798	420	460	594	296	530
PRAMEF7	1049	1854	1401	1156	1796	1295
PRAMEF6	3412	4455	4238	1757	3291	3290
PRAMEF27	4401	1723	994	585	1825	2108
PRAMEF25	12141	12648	8586	5960	6191	7300
HNRNPCL3	32	30	62	80	40	72
HNRNPCL2	1157	749	466	485	711	895
PRAMEF26	2176	3351	1551	2271	2286	3056
HNRNPCL4	771	2655	796	797	1190	1722
PRAMEF9	12558	10574	9814	11299	7735	6370
PRAMEF18	1676	1080	358	1891	783	573
PRAMEF5	912	907	948	704	2525	1778
PRAMEF8	14595	4998	3754	7291	8525	7009
PRAMEF15	8099	9516	5543	6021	2610	5296
PRAMEF14	4919	2838	5717	5864	3186	4471
PRAMEF19	615	729	1542	543	545	771
PRAMEF17	795	773	1264	955	430	777
PRAMEF20	2355	2361	1236	882	1159	3093
LRRC38	1948	2249	1870	1129	1986	2681
PDPN	1041	1664	1336	1283	886	2132
PRDM2	5549	7699	8627	3879	7251	6366
KAZN	1994	2015	3231	2862	3437	1446
TMEM51	2219	1896	1289	1730	2595	1309
FHAD1	1748	1709	1736	772	1095	2225
EFHD2	224	456	261	365	142	256
CTRC	1325	2013	2103	1126	1502	2712
CELA2A	765	665	272	263	673	590
CELA2B	4983	8112	6625	6831	9132	13484
CASP9	775	4539	2350	3766	1763	2767
DNAJC16	10362	6158	6396	4668	4182	4407
AGMAT	1214	759	818	909	787	951
DDI2	3385	8480	3572	6186	5112	8558
RSC1A1	198	145	140	55	159	103
PLEKHM2	7900	4397	4413	11170	13818	5863
SLC25A34	446	344	414	563	841	832
TMEM82	379	343	337	429	478	228
FBLIM1	1925	1358	606	807	798	668
UQCRHL	4634	3839	2757	2176	1818	2879
SPEN	2181	11091	4157	2853	5364	7761
ZBTB17	4556	3194	1817	6290	3906	3249
C1orf64	2661	1975	2884	1230	3138	1811
HSPB7	2329	2063	1477	1685	1075	2017
CLCNKA	1243	830	2203	1106	982	2899
CLCNKB	1370	947	1439	1277	821	608
FAM131C	1373	1383	3987	2958	2166	2932
EPHA2	6044	9394	8048	14175	8560	8742
ARHGEF19	729	544	1787	1073	435	984
RSG1	1658	3257	2070	1972	1605	3757
FBXO42	329	413	379	261	337	166
SZRD1	2414	1808	4688	2807	2781	4949
SPATA21	3232	1757	1225	1960	1206	550
NECAP2	1520	1309	1047	1509	1696	2322
FAM231B	919	1263	1092	559	1182	610
NBPF1	4890	3989	3908	3117	3867	7495
FAM231A	3306	3963	3683	2830	4941	6474
FAM231C	545	1540	2139	1097	1034	2151
CROCC	1238	959	1281	1138	1364	1693
MFAP2	1660	3127	2393	1602	1584	1286
ATP13A2	1555	710	1835	1004	1412	1937
SDHB	3175	3790	2002	2501	4274	2179
PADI2	10	17	41	43	91	80
PADI1	2945	3566	2644	3146	4046	3881
PADI3	295	647	368	504	471	300
PADI4	5520	4260	4693	3518	2280	5460
AC004824.1	573	551	859	742	971	497
PADI6	14444	5730	6442	5609	12701	6992
RCC2	7278	4139	2984	6493	6370	8016
ARHGEF10L	6054	7140	7209	15317	6412	8507
ACTL8	57	67	69	130	134	80
IGSF21	179	153	61	69	216	95
KLHDC7A	443	480	832	513	867	903
PAX7	6533	3901	3249	4839	4944	4333
TAS1R2	1023	1070	2061	457	1215	1604
RP13-279N23.2	10342	6025	6940	10197	7339	11715
ALDH4A1	824	724	641	909	917	960
IFFO2	604	244	344	332	298	402
UBR4	7500	22129	11114	5715	4863	16702
EMC1	459	418	250	383	354	345
MRTO4	482	397	471	376	684	834
AKR7A3	1027	519	389	1170	1723	892
AKR7A2	4122	4024	4419	4539	4968	4187
PQLC2	3416	1056	1182	1990	2772	1319
CAPZB	2392	3432	3471	1742	1140	2296
MINOS1	4071	1164	2180	1994	3306	1952
MINOS1-NBL1	738	884	832	981	1216	1210
NBL1	254	225	193	212	192	366
HTR6	198	389	232	236	232	336
TMCO4	1561	949	1114	974	1066	783
RNF186	1316	1570	1996	462	1230	1770
OTUD3	845	433	617	1295	414	1293
PLA2G2E	951	424	1521	733	323	648
PLA2G2A	947	905	954	955	712	432
PLA2G5	1248	684	1370	789	1334	1100
PLA2G2D	1533	1907	3654	4662	3685	3202
PLA2G2F	5855	5659	7336	4435	5473	14050
PLA2G2C	1106	1454	922	991	820	714
UBXN10	2	6	10	8	10	3
VWA5B1	9188	5368	10683	6907	11410	13043
CAMK2N1	794	373	1196	392	914	1521
MUL1	769	1668	1456	1738	1584	1659
FAM43B	2540	1627	2828	2796	2987	2500
CDA	1086	1892	1095	1613	1474	966
PINK1	1735	1603	405	1649	1818	925
DDOST	635	602	318	516	218	212
KIF17	2328	1654	989	2616	733	859
SH2D5	4424	3396	3608	6716	1471	3829
HP1BP3	1984	2070	4784	2698	2222	994
EIF4G3	2563	3605	2912	2028	1477	2966
ECE1	47	33	101	48	67	28
NBPF3	825	1939	1112	1412	622	1316
ALPL	1313	1729	1616	1270	1488	1368
RAP1GAP	1863	1491	2120	1267	1793	1616
USP48	560	1370	3312	1960	4044	1692
LDLRAD2	1023	1017	1388	829	1226	1128
HSPG2	1027	1267	1897	964	1198	958
CELA3B	17027	17349	20893	9661	23757	16132
CELA3A	18	18	14	27	13	8
CDC42	113	58	86	59	131	63
WNT4	1002	1907	1156	2111	1488	2014
ZBTB40	9194	11416	7000	3442	5066	8134
EPHA8	291	179	232	200	153	272
C1QA	8	15	11	25	12	17
C1QC	1653	1698	1160	853	1560	1819
C1QB	4625	2432	1284	1686	1634	4664
EPHB2	10657	12494	19230	7760	12729	18096
LACTBL1	917	746	843	714	1231	503
C1orf234	2381	1726	2428	1319	2132	2147
KDM1A	6023	6395	5254	8534	2472	5911
LUZP1	5891	2893	3656	3244	3932	3773
HTR1D	7447	9737	3611	5449	12342	4865
HNRNPR	3064	2702	3070	1313	1646	2266
ZNF436	200	1204	492	238	357	446
TCEA3	10068	7310	5556	6991	7567	7039
ASAP3	7341	6212	4275	4772	1694	4014
E2F2	197	36	53	39	109	109
ID3	3659	6169	3972	3312	2752	3292
MDS2	197	274	183	267	258	128
RPL11	2254	2848	4594	3665	2635	4557
TCEB3	1183	627	1024	653	785	605
PITHD1	9460	5296	10125	9481	5517	6057
LYPLA2	2415	2248	1884	3715	3744	2250
GALE	3350	3594	1655	5055	3564	3451
HMGCL	3376	1761	4386	2152	6047	4605
FUCA1	441	104	344	724	291	294
CNR2	1009	423	824	552	697	960
PNRC2	597	249	426	323	697	338
SRSF10	65	79	54	69	40	99
MYOM3	117	269	367	163	145	152
IL22RA1	498	565	285	339	453	396
IFNLR1	429	1260	1517	1136	2594	2462
GRHL3	789	1411	1028	722	1269	1608
STPG1	1210	2124	1272	1044	1019	2658
NIPAL3	17472	22415	30708	10126	14876	14595
RCAN3	3428	2435	3446	6031	5396	2906
NCMAP	2606	1862	1817	2616	4020	2698
SRRM1	980	734	1146	1801	1759	1325
CLIC4	5741	9010	16044	13708	10145	4134
RUNX3	761	556	147	616	859	1428
SYF2	328	501	441	587	647	461
RSRP1	5852	6630	5589	8188	13837	5926
RHD	3829	2422	5226	3168	4683	1956
TMEM50A	206	195	183	427	95	220
RHCE	516	888	424	976	422	707
TMEM57	5966	9938	9196	8096	16959	12733
LDLRAP1	290	252	314	154	153	245
MAN1C1	414	486	375	542	1106	425
SEPN1	7828	4685	1769	3632	4862	5980
RP1-317E23.6	9420	5043	5345	3449	3976	5870
MTFR1L	7224	8014	2350	2960	2976	3672
AUNIP	1408	1209	1563	1972	740	760
PAQR7	5704	5848	3857	6102	2846	8224
STMN1	1705	1641	3292	2035	2583	575
PAFAH2	287	394	461	343	514	520
EXTL1	4292	2860	2154	1610	2511	993
SLC30A2	2331	827	2262	3524	2195	1356
TRIM63	964	1466	569	1503	1654	877
PDIK1L	8443	5022	6654	9075	4600	2479
FAM110D	1004	2314	2999	1081	2394	1555
RP11-96L14.8	17	28	9	13	24	29
RP11-96L14.7	4425	2892	3372	3148	2504	1202
ZNF593	3678	5690	2128	2305	3824	2718
CNKSR1	8110	3717	5372	5007	11257	8223
CATSPER4	1241	902	1580	1408	147	952
CEP85	670	356	597	302	660	302
SH3BGRL3	2086	1842	2685	1711	3216	1415
UBXN11	2853	986	2409	2032	3213	1464
CD52	2114	1147	1008	1852	1723	1286
AIM1L	7800	5930	4587	5826	3740	7843
ZNF683	6258	3277	4457	3744	4882	3649
LIN28A	2325	1447	1770	5129	1966	2108
DHDDS	34931	14532	16266	5555	11325	13445
HMGN2	446	760	841	356	497	759
RPS6KA1	4743	1646	2193	1723	1899	1523
ARID1A	3183	2000	1583	3501	2729	2421
PIGV	5855	9579	6254	12029	6790	10893
ZDHHC18	624	2026	883	1109	2055	1455
SFN	1127	967	1259	1852	571	1140
GPN2	5	9	7	7	14	4
GPATCH3	6924	2226	4118	4950	4070	3702
NUDC	4276	3149	2818	2217	2131	3684
NR0B2	1990	941	2136	828	2171	2789
KDF1	4147	5656	3702	6085	3581	8679
TRNP1	9380	12535	16177	14050	11802	11793
FAM46B	4177	7742	9248	2780	6415	5574
AL137860.1	4276	3317	4856	3558	3691	6444
SLC9A1	1282	2466	1647	1821	1948	1281
WDTC1	600	1706	758	1300	990	1188
TMEM222	211	118	293	395	142	357
SYTL1	1262	571	1063	415	433	659
MAP3K6	987	1121	467	1612	986	1181
FCN3	2720	1798	1485	1569	2114	1638
CD164L2	198	65	194	27	159	131
GPR3	1132	3125	7882	1620	6327	7831
WASF2	14249	7140	12032	14904	8162	9558
AHDC1	11015	8939	8523	4886	8958	6469
FGR	553	632	1030	2122	1210	1286
IFI6	924	898	861	2457	1423	720
FAM76A	677	504	492	513	835	816
STX12	5331	6315	3741	2996	6508	2050
PPP1R8	1795	1885	3564	2619	2546	1884
AL109927.1	203	289	435	343	405	534
THEMIS2	2608	1617	4096	3066	1326	3689
RPA2	301	207	299	155	155	255
SMPDL3B	3447	3953	5043	5099	3397	2609
XKR8	3605	1657	2448	1315	1777	2673
EYA3	3983	8874	8181	10916	10682	7989
PTAFR	1846	5776	8297	8888	3175	3923
DNAJC8	5027	3971	2154	3389	4366	2046
ATPIF1	2287	1980	4241	2963	4210	3303
SESN2	1368	2702	1432	1861	1513	940
MED18	3190	3594	10659	6910	1198	3434
PHACTR4	4	3	3	2	1	3
RCC1	2709	1529	1746	5318	3124	2002
TRNAU1AP	885	743	1663	3316	861	805
TAF12	2339	8168	6090	7304	7299	6242
RAB42	87	61	126	61	129	76
GMEB1	532	622	704	380	1078	525
YTHDF2	628	690	1161	1129	1403	1057
OPRD1	2948	1610	1312	2948	1428	2303
EPB41	1303	873	966	709	415	883
TMEM200B	2573	2580	5785	3474	3922	2821
SRSF4	3266	4801	2090	1749	3311	4813
MECR	3656	5139	3028	5608	804	3013
PTPRU	3650	6192	6656	10019	5310	7322
MATN1	2190	3967	1430	1860	3229	968
LAPTM5	2442	3245	2380	3388	2492	4050
SDC3	587	1016	1031	2116	491	1318
PUM1	6679	5450	10911	5097	2236	2130
NKAIN1	241	741	442	301	303	368
SNRNP40	6593	7957	3404	11169	6505	5953
ZCCHC17	12531	3596	4271	3550	4173	4255
FABP3	2086	1225	2239	1627	1493	1011
SERINC2	2573	3055	1307	1217	2663	7119
TINAGL1	5870	17071	11458	9282	10971	10083
HCRTR1	982	789	2723	2219	1978	2401
PEF1	3491	4842	6050	2100	2772	5927
COL16A1	693	647	1474	718	741	741
ADGRB2	2058	1558	3112	1613	1791	936
SPOCD1	2731	1187	3435	1545	2981	2733
PTP4A2	507	2903	2147	4731	1227	2018
KHDRBS1	507	453	825	641	479	446
TMEM39B	1084	636	854	567	1467	470
KPNA6	1863	1007	1368	1897	1254	813
TXLNA	2759	5222	4427	1687	4549	3204
CCDC28B	1681	935	1941	1991	1704	1083
IQCC	1129	1007	1278	1795	1346	605
DCDC2B	3222	6823	2469	3007	1702	737
TMEM234	5279	2814	3303	5873	2130	2040
EIF3I	286	420	220	321	280	159
FAM167B	1064	3243	1475	1707	2185	1118
LCK	1134	922	1160	572	1629	2062
HDAC1	74	116	151	149	199	102
MARCKSL1	2381	7426	3277	8050	9419	2883
TSSK3	2542	1569	2467	670	2092	2711
FAM229A	823	789	1335	425	1525	1821
BSDC1	94	69	122	82	136	113
RP1-27O5.3	2336	2227	1924	1856	1576	1918
ZBTB8B	277	484	377	373	296	651
ZBTB8A	2517	764	3122	1711	2620	1397
ZBTB8OS	916	1487	1096	1710	1261	1269
RBBP4	6802	5685	4963	5115	9664	9922
SYNC	496	364	504	74	299	602
KIAA1522	3644	2135	6913	3714	4160	10743
YARS	359	113	179	66	217	96
S100PBP	799	1285	2564	940	1139	2467
FNDC5	1217	5567	1956	2146	1056	3452
HPCA	879	935	2034	574	707	960
TMEM54	6242	5547	14412	3888	9889	12656
RNF19B	1961	1146	1981	1913	933	1228
AK2	1020	2458	2806	3089	1911	1338
AZIN2	1076	1328	1877	2180	2044	671
TRIM62	21772	2707	13152	7500	13419	10360
ZNF362	3181	1711	3354	1119	5121	6019
A3GALT2	2265	2295	4768	1996	2292	4953
PHC2	4942	10330	11716	8223	11685	10596
ZSCAN20	1091	3126	3324	1192	965	1546
CSMD2	6559	3737	2952	4480	6290	5442
HMGB4	2072	3081	1287	1723	1470	2909
C1orf94	7128	5118	8433	14103	4009	5100
SMIM12	256	854	520	444	496	479
GJB5	6879	3142	3394	3717	1749	1195
GJB4	7115	11476	5399	9717	6435	6718
GJB3	6799	5662	7412	7079	7855	6966
GJA4	1019	1199	1249	1155	1330	1682
DLGAP3	5271	5402	7809	2938	6335	4152
RP11-244H3.4	603	682	762	785	309	250
TMEM35B	6174	4984	6169	2376	2607	2800
ZMYM6	231	134	45	127	41	83
ZMYM1	1106	630	588	2292	728	2060
SFPQ	419	259	333	289	393	427
ZMYM4	2403	487	1211	1883	1073	1477
KIAA0319L	2551	3120	757	998	1925	904
NCDN	232	445	609	479	942	988
TFAP2E	382	155	526	232	213	382
PSMB2	1291	1275	1547	1030	1130	879
C1orf216	1598	1782	2153	1074	1888	829
CLSPN	6992	16082	8148	10824	9750	5679
AGO4	301	556	1014	510	570	1082
AGO1	1842	1503	3360	1701	2273	1630
AGO3	637	1435	1396	1074	1073	2843
TEKT2	1207	2070	1160	1298	3494	2112
ADPRHL2	2230	2175	2086	1570	3602	2703
COL8A2	922	682	1406	2835	492	2627
TRAPPC3	583	1253	153	733	1002	671
MAP7D1	7584	12132	6255	4862	4297	6379
THRAP3	284	258	541	238	378	355
SH3D21	3261	2102	5451	2683	3452	2576
EVA1B	1323	588	789	1847	366	909
STK40	1373	4205	2117	2187	1196	1644
LSM10	7531	13970	5999	7397	8640	9469
OSCP1	479	432	288	340	655	492
MRPS15	1604	2602	2480	4006	3137	3391
CSF3R	2487	4744	1720	6349	4795	2965
GRIK3	779	296	290	380	543	229
ZC3H12A	0	0	0	1	0	1
MEAF6	1919	2377	5228	5491	4307	3803
SNIP1	7600	19672	12187	6552	6234	6245
DNALI1	2222	3123	2064	1831	2377	5227
GNL2	6700	5775	16381	4711	6793	7370
RSPO1	723	431	361	599	438	317
C1orf109	1020	2255	2692	1282	1204	2062
CDCA8	2151	4642	4675	4443	3722	4253
EPHA10	8932	34051	8747	10541	13270	30039
MANEAL	1139	1707	502	2760	3253	683
YRDC	10633	26054	11362	24700	15394	11293
C1orf122	2063	3051	5808	5035	4543	4236
MTF1	5343	4596	2858	2357	6757	2546
INPP5B	2327	1186	1728	1436	2672	1421
SF3A3	6284	3313	3265	3321	1281	3523
FHL3	230	649	227	364	300	158
UTP11	349	364	759	404	410	655
POU3F1	2319	595	2295	4309	1755	2488
RRAGC	6216	11126	8347	5827	7889	10007
MYCBP	8290	17933	5891	6617	10146	14613
RP5-864K19.6	1395	801	1660	473	1693	1189
GJA9	18	34	15	52	47	52
RHBDL2	2296	1746	2178	783	1225	1062
AKIRIN1	4300	3887	1785	4453	1751	7095
NDUFS5	4440	6870	7670	6628	13786	5417
MACF1	1376	3155	441	1018	1737	1510
BMP8A	3009	6822	5125	5550	9497	6541
PABPC4	4027	6535	2496	2690	3601	5396
HEYL	2673	4381	5750	3569	2951	2973
